,,,,,,SAMPLE_NAME,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
BIOCHEMICAL,PLATFORM,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
2-methylbutyrylcarnitine (C5),Method 1,31023-25-3,6426901,4932320,,HMDB00378,"11,456,817","22,913,024","12,828,995","12,659,354","15,671,987","26,627,090","26,591,096","25,922,058","21,540,864","29,387,918","24,454,736","29,345,760","42,231,232","30,483,998","36,762,144","36,595,188","56,156,428","38,079,248","66,161,100","72,095,160","51,575,744","46,724,532","51,177,148","87,341,040"
2-methylbutyrylglycine,Method 3,52320-67-9,193872,168243,,HMDB00339,"40,159","225,981","63,530","138,742","106,039",,,,"21,814","40,057","127,722",,"157,434",,"54,643","64,064","133,580","395,921","216,457",,"28,399","60,284",,"28,928"
2-oleoylglycerol (18:1),Method 3,3443-84-3,5319879,4478086,,,"3,099,569","3,411,727","5,838,007","6,981,197","4,073,478","6,288,761","3,363,404","3,081,638","7,354,422","4,467,633","7,492,747","5,511,792","10,773,729","10,873,537","7,772,913","7,879,429","2,805,640","6,432,126","5,317,653","12,381,183","33,534,994","4,222,526","14,103,101","42,930,668"
2-palmitoleoylglycerol (16:1)*,Method 3,,,,,,"148,576",,,,"514,032","140,860","234,903",,"235,333",,"417,197","108,976","1,191,082","556,728","895,214",,"404,779",,"544,994","603,024","944,720","192,441","684,051","2,241,236"
2-palmitoyl-GPC (16:0)*,Method 3,,15061532,21403165,,HMDB61702,"737,646","1,332,933","2,115,718","2,020,342","3,710,147","2,115,451","2,054,841","4,134,137","3,279,167","3,648,758","3,594,444","3,380,380","3,341,692","2,977,909","4,384,169","2,811,471","2,025,286","2,260,933","2,432,113","3,206,575","6,110,153","2,246,385","4,261,818","6,552,187"
2-palmitoylglycerol (16:0),Method 3,23470-00-0,123409,110006,,HMDB11533,"2,430,820",,"2,106,991","5,464,749","3,119,535","5,836,282","2,815,798","3,234,594","5,077,716","7,312,235","1,941,204","4,721,287","6,940,655","4,965,678","3,694,868","8,569,878","2,688,697","3,387,306","3,352,809","7,548,982","10,882,366","2,318,368","9,349,109","18,421,684"
2-stearoyl-GPC (18:0)*,Method 1,,10208382,8383879,,,,"363,405",,,"733,410","454,503",,"1,241,890","2,241,037","8,871,734","2,029,343",,"512,616",,"1,877,366","593,740","1,993,975","634,571","2,302,560","974,061","5,895,267","804,662","2,112,911","486,824"
2-stearoyl-GPE (18:0)*,Method 3,,,24769218,,,,"63,818","101,076","157,028","288,179","129,514","265,043","437,394","446,620","410,186","396,785","285,036","1,195,662","1,071,028","888,696","1,001,460","286,121","652,329","473,828","1,308,188","1,487,696","608,375","1,251,462","1,185,997"
3-(3-hydroxyphenyl)propionate sulfate,Method 3,86321-32-6,187488,162993,,,,"47,504","74,670","36,287","32,592","75,114",,"39,429","43,553",,"31,433",,,,"42,015",,"123,441","278,102",,,,,,
3-(4-hydroxyphenyl)lactate,Method 3,6482-98-0,9378,9010,C03672,HMDB00755,"294,503","1,473,256","1,101,816","587,291","551,778","294,128","387,065","230,529","346,278","753,453","890,375","317,716","972,877","161,721","341,045","350,121","317,058","945,669","792,080","459,335","297,453","333,306","459,498","237,258"
3-hydroxy-3-methylglutarate,Method 4,503-49-1,1662,4573695,C03761,HMDB00355,"421,627","1,393,426","636,535","748,472","523,072","784,429","543,580","632,433","804,432","893,385","644,896","754,082","887,656","572,033","760,099","707,699","504,306","647,249","848,243","1,315,778","1,059,917","470,090","541,305","1,084,258"
3-hydroxybutyrate (BHBA),Method 4,625-72-9,441,428,C01089,HMDB00357,"447,997","297,012","396,157","1,122,984","562,410","2,479,132","1,801,939","711,802","1,211,885","844,750","1,117,694","555,979","888,750","748,721","1,141,372","608,007","1,054,442","483,355","3,440,518","1,841,198","967,512","935,631","1,064,922","1,300,777"
3-hydroxyisobutyrate,Method 4,2068-83-9,87,10140307,C06001,HMDB00336,"186,078","501,365","303,026",,"394,680","399,607","336,717","379,553","361,789","423,346","289,091","378,085","387,276","148,948","577,945","282,022","306,121","340,993","865,370","486,945","479,869","473,006","466,069","793,960"
3-indoxyl sulfate,Method 3,2642-37-7,10258,9840,,HMDB00682,,"6,540,574","1,562,886","933,241","1,756,668","523,901","390,022","1,734,489","800,815","225,252","656,216",,"197,448","174,130","717,225",,"1,548,939","5,735,225","1,056,443","547,663",,"293,280","201,791","161,337"
3-methyl-2-oxovalerate,Method 3,1460-34-0;51829-07-3,47,46,C00671,HMDB03736,,"392,653","241,975","299,121","291,823","414,789","657,848","297,268","203,124","444,205","231,496",,"290,671","275,552","373,339",,"398,376","323,611","800,294","1,158,856","391,278","392,104","320,915","389,615"
3-methylcrotonylglycine,Method 1,33008-07-0,169485,148224,,HMDB00459,,"878,743",,,,,,,,,,,,,,,,"1,433,061","270,728",,,,,
3-methylglutarylcarnitine (1),Method 1,,128145,113619,,HMDB00552,,,,"81,870",,"248,509",,,,,,"70,483",,,,,,"354,218","110,734",,,,,
3-phosphoglycerate,Method 3,80731-10-8,724,10669764,C00597,HMDB00807,"5,675,936","8,136,014","7,537,880","9,199,323","8,657,931","8,534,813","12,459,018","8,943,947","15,248,254","10,408,530","9,746,031","5,951,828","2,877,620",,,"2,543,706","4,471,400","2,097,840","9,350,986","2,044,889","2,223,074","4,387,759","3,490,337","4,062,333"
3-ureidopropionate,Method 4,462-88-4,111,109,C02642,HMDB00026,"50,387","90,972","56,178","77,165",,"148,515","53,389","61,451","40,997","61,222","75,385",,"277,843","35,244","79,912","36,514","62,529","234,704","265,725","196,578","68,111","62,991","38,924","43,914"
4-acetamidobutanoate,Method 1,3025-96-5,18189,17180,C02946,HMDB03681,,"1,212,201","701,123",,,"397,530",,,,"2,181,075",,,,,,,,"1,575,974","1,190,255",,,,"972,527","613,732"
4-guanidinobutanoate,Method 1,463-003;463-00-3,500,486,C01035,HMDB03464,,"290,941","248,679","128,563",,,,,,,"117,345","208,395",,"231,921",,,,"1,438,504",,"950,476",,,,
4-hydroxycinnamate sulfate,Method 3,376374-66-2,6070438,4797737,,,,"219,586","310,661","365,235","64,908","10,476",,,,,"177,481",,"25,157",,"8,995",,,"296,715","45,513",,,,,
4-hydroxyhippurate,Method 1,2482-25-9,151012,133104,,HMDB13678,,"497,004","219,769",,,,,,,,,,,,,,,"1,026,216",,,,,,
4-hydroxyphenylpyruvate,Method 3,156-39-8,979,954,C01179,HMDB00707,,"586,266","173,876","49,064","57,233","56,751","29,198",,"17,328","61,239","116,683",,"132,411","48,430","89,232",,"59,600","938,980","69,017","54,847","77,639","37,547","67,196",
4-methyl-2-oxopentanoate,Method 3,816-66-0,70,69,C00233,HMDB00695,,"283,290","189,691",,,"560,225",,,"232,458","263,700",,,,,"263,132",,"224,621","187,580","376,378","568,718","418,807",,"387,216",
4-methylcatechol sulfate,Method 3,,,,,,,"87,893",,"47,768",,,,,,"125,393","81,476",,,,,,,"229,886",,,,,,
4-vinylphenol sulfate,Method 3,2628-17-3,6426766,4932200,C05627,HMDB04072,,"379,376","142,337","61,452","57,594","43,444",,,"23,836","17,998","176,358",,"63,799",,"32,405",,,"889,746","79,284","26,616","23,496",,,"20,947"
"5,6-dihydrouracil",Method 1,504-07-4,649,629,C00429,HMDB00076,"460,878","829,438","639,786","443,146","919,873","971,529","785,458","726,821","759,332","776,229","941,670","1,002,188","817,072","546,348","633,423","563,675","867,870","792,740","1,072,545","1,055,411","713,616","740,664","771,129","998,031"
5-methyl-2'-deoxycytidine,Method 1,838-07-3,440055,389065,C03592,HMDB02224,"82,286","283,601","100,783",,,"137,372",,,,"125,804","171,611","157,956","762,572","454,446","752,834","425,495","1,110,709","835,509","1,296,603","4,188,490","1,403,431","1,012,638","910,012","1,922,273"
5-methylcytidine,Method 1,2140-61-6,92918,83877,,HMDB00982,"727,423","1,130,499","1,123,883",,"1,052,492","2,083,356","1,315,480","1,103,762","1,323,562","966,512","1,364,463","745,844","3,975,904","1,496,790","2,813,742","1,150,403","3,066,480","2,443,164","4,996,533","6,046,750","5,713,646","4,156,851","2,864,175","5,417,478"
5-methyltetrahydrofolate (5MeTHF),Method 3,68703-91-3;68792-52-9,146,143,C00440,HMDB01396,,,,"37,051","23,957",,"86,362","51,509","152,449","52,127",,,"45,241",,"35,650",,"29,253",,"79,075","53,856","22,958",,"35,430","43,314"
5-methylthioadenosine (MTA),Method 1,2457-80-9,439176,388321,C00170,HMDB01173,"33,443,802","100,486,592","76,606,864","47,774,892","55,680,876","81,675,944","46,484,724","91,560,792","97,379,848","104,225,512","55,188,464","96,170,944","51,271,436","16,999,110","71,153,344","33,891,976","71,861,888","39,264,756","125,655,504","75,161,632","93,880,080","59,420,116","65,040,308","87,076,960"
5-methyluridine (ribothymidine),Method 3,1463-10-1,445408,393058,,HMDB00884,,,,,,,,,,,,,"138,902",,"69,665","42,729","87,507","38,330","84,268","158,139","132,695","85,134","55,062","329,169"
5-oxoproline,Method 3,98-79-3,7405,7127,C01879,HMDB00267,"23,317,248","45,376,248","35,546,532","33,178,900","48,648,096","51,871,448","45,052,012","54,664,020","63,354,832","69,901,304","39,838,980","63,011,396","65,479,948","18,026,604","87,774,608","37,169,052","154,442,640","34,127,144","291,447,616","93,158,528","90,779,952","97,345,136","82,806,616","118,280,784"
7-ketodeoxycholate,Method 3,911-40-0,188292,163659,,HMDB00391,,,,,,,,,,,,,,,,,,,,,,,,
7-ketolithocholate,Method 3,4651-67-6,444262,392247,,HMDB00467,,,,,,,,,,,,,,,,,,,,,,,,
7-methylguanine,Method 3,578-76-7,11361,10883,C02242,HMDB00897,,"93,792","76,923","28,546","50,184","28,231",,"18,372",,"40,741","34,125",,"176,546","93,455","97,981","183,746","131,899","367,791","165,054","191,392","149,274","78,607","169,740","165,054"
7-methylguanosine,Method 1,20241-86-4,,18629955,,,,,,,,,,,,,,,,,"137,862",,"147,980","187,199","342,445","477,688",,"120,114",,"183,739"
acetylcarnitine,Method 1,5080-50-2,1,5406074,C02571,HMDB00201,"1,204,842,112","1,848,944,000","1,749,810,432","1,679,840,640","1,771,348,224","2,348,153,856","2,071,991,168","2,111,018,624","1,867,267,328","2,170,292,736","1,852,349,312","1,787,335,424","1,726,276,352","1,245,270,784","1,346,975,744","1,658,342,784","1,584,128,896","1,536,889,472","1,913,202,176","1,627,247,232","1,577,953,152","1,369,679,232","1,912,462,080","2,203,342,592"
acetylcholine,Method 1,60-32-1,,,,,"19,217,142","45,631,728","30,079,000","25,533,798","37,307,484","46,890,484","30,450,098","32,452,992","26,837,562","45,405,312","41,448,112","48,050,812","21,671,992","11,615,517","20,457,378","18,945,792","23,824,770","24,596,940","34,562,220","20,328,308","27,298,760","24,405,706","30,376,154","37,307,688"
adenine,Method 1,73-24-5,190,185,C00147,HMDB00034,"20,619,298","35,011,448","30,530,016","30,176,252","34,243,000","37,218,944","37,130,948","25,275,664","37,014,140","33,730,040","34,282,728","29,862,216","8,025,238","9,266,604","9,143,385","9,544,021","16,811,748","12,241,163","29,761,354","18,854,356","14,494,755","21,351,902","14,102,815","26,388,072"
adenosine,Method 1,58-61-7,60961,54923,C00212,HMDB00050,"418,130,656","427,486,880","571,670,336","665,565,184","485,130,880","678,318,144","444,098,176","597,670,016","142,134,544","763,762,880","524,428,224","607,667,840","483,899,776","344,824,544","376,947,232","441,256,032","469,363,424","336,124,928","769,458,112","354,282,848","445,270,976","334,145,088","380,713,056","400,345,024"
adenosine 2'-monophosphate (2'-AMP),Method 3,130-49-4,94136,,C00946,HMDB11617,"32,260",,,"63,061","108,679","31,220","63,978","23,030","100,279","28,494",,,"91,914","22,925","28,436","48,531","73,512","16,075","88,613","62,758","40,463","98,777","57,100","52,994"
"adenosine 3',5'-cyclic monophosphate (cAMP)",Method 3,60-92-4,6076,268,C00575,HMDB00058,"101,952","294,750","274,133","191,762","222,455","366,000","221,695","337,120","151,366","477,206","285,734","375,734","432,610","146,651","280,523","464,497","392,369","326,814","579,766","538,344","430,420","320,495","626,314","597,288"
adenosine 3'-monophosphate (3'-AMP),Method 3,84-21-9,41211,10463793,C01367,HMDB03540,"145,045","128,141","119,500","153,770","179,659","157,028","123,728","143,111","199,295","130,568",,"87,503","162,195",,"235,120","135,732","123,517","153,365","147,304","255,963","150,108","182,172","136,975","164,871"
adenosine 5'-diphosphate (ADP),Method 3,20398-34-9,6022,5800,C00008,HMDB01341,"7,551,271","8,340,796","15,560,448","7,960,987","9,116,735","18,541,014","7,434,850","14,263,704","3,902,974","13,124,268","18,148,676","12,036,994","10,400,158","7,302,037","10,179,806","11,838,860","15,419,527","13,911,802","15,163,453","18,051,508","14,901,222","22,448,250","17,786,580","21,483,918"
adenosine 5'-diphosphoribose (ADP-ribose),Method 3,68414-18-6,192,3674071,C00301,HMDB01178,"657,193","1,014,685","862,951","647,692","696,106","1,106,553","991,350","1,117,199","714,702","525,172","682,880","769,899","412,093","276,980","975,052","707,905","261,328","1,156,782","366,891","271,384","1,075,868","494,648","757,559","159,335"
adenosine 5'-monophosphate (AMP),Method 1,149022-20-8,6083,10239183,C00020,HMDB00045,"186,207,024","434,846,880","455,577,728","244,074,256","403,024,864","394,696,864","185,559,648","434,728,128","47,397,068","502,146,912","390,988,480","401,184,480","262,741,392","160,492,896","328,247,648","296,210,048","371,077,248","254,288,928","583,303,680","352,786,080","409,457,888","357,564,800","427,136,480","470,134,272"
adenylosuccinate,Method 3,19046-78-7,195,190,C03794,HMDB00536,"1,632,594","4,347,312","2,548,490","2,595,617","3,611,589","3,107,056","2,279,707","1,709,626","681,447","780,702","1,507,048","911,214","404,330","750,070","1,257,283","261,293","1,428,140","882,460","5,608,500","4,297,216","1,450,243","2,788,385","1,392,880","4,675,949"
adrenate (22:4n6),Method 3,2091-25-0,5497181,4445971,C16527,HMDB02226,"3,965,275","2,310,848","10,187,635","11,666,477","13,236,482","3,563,214",,"18,695,774","70,207,976","47,621,152","12,469,449","11,182,154","86,774,480","40,183,820","70,741,520","33,992,064","21,711,772","30,157,644","37,453,912","51,414,440","115,003,144","10,054,306","108,767,992","106,428,560"
alanine,Method 1,56-41-7,5950,5735,C00041,HMDB00161,"60,764,448","75,709,960","51,087,296","58,858,500","80,994,528","47,922,908","81,303,696","70,216,896","76,379,072","92,172,592","73,962,336","96,741,968","86,633,168","44,763,956","81,612,320","64,759,704","141,186,128","64,511,436","89,557,936","149,051,552","97,122,856","188,184,400","119,996,256","158,231,712"
alanylleucine,Method 1,1638-60-4,259583,227831,,HMDB28691,"187,494","752,156","443,706","305,061","456,829","517,281","581,418","1,183,783","1,197,025","1,510,974","505,767","1,243,629","4,011,021","2,214,962","5,312,867","1,895,958","1,165,249","2,094,194","3,489,140","2,356,328","4,383,732","850,088","1,957,641","1,508,238"
allantoin,Method 4,97-59-6,204,199,C02350,HMDB00462,"1,650,489","4,021,379","4,388,537","3,072,231","2,943,438","3,057,567","2,372,079","1,738,321","1,457,066","2,051,083","2,610,377","1,562,825","4,392,824","2,829,779","3,437,621","3,585,509","3,332,583","10,199,636","5,077,846","3,727,928","3,534,437","2,939,231","4,072,992","3,812,999"
alpha-hydroxyisocaproate,Method 3,10303-64-7,83697,75520,C03264,HMDB00746,,"92,556",,,,"165,927",,,,"57,755","51,368",,,"126,639",,"125,152",,,"110,145","62,578",,,,
alpha-hydroxyisovalerate,Method 3,600-37-3,99823,90190,,HMDB00407,"851,987","495,123","563,734","603,829","448,917","915,644","409,138","365,866","404,506","416,696","673,884","300,923","694,652","472,215","476,631","463,127","460,922","323,360","670,699","520,344","440,086","474,423","235,489","454,932"
alpha-hydroxyisovaleroyl carnitine*,Method 1,,,,,,"340,941","479,906","387,400",,"324,395","689,444","301,951","440,888",,"539,343","568,991","313,649","484,597","324,668","270,076","406,024","463,324","321,244","288,824","299,557",,"169,959",,"467,438"
alpha-ketoglutarate,Method 4,305-72-6;328-50-7;22202-68-2,51,50,C00026,HMDB00208,"3,333,146","5,839,846","7,201,690","5,079,012","7,695,904","7,011,781","6,221,709","4,507,680","4,094,859","5,496,665","5,641,812","6,843,186","20,047,104","12,065,360","18,470,930","11,436,056","14,446,048","14,463,124","21,468,540","17,494,332","18,030,364","15,062,307","15,345,408","20,055,240"
anserine,Method 3,10030-52-1,112072,100482,C01262,HMDB00194,"415,700","596,492","629,411","633,335","591,155","668,369","524,004","767,113","515,382","955,872","868,897","652,780","326,520","425,907","380,782","397,174","343,602","344,490","548,421","352,207","389,049","243,526","371,682","445,620"
arabitol/xylitol,Method 4,,,,,,"722,242","1,340,614","1,286,829","1,142,480","1,250,032","1,410,076","1,368,699","1,316,896","899,053","1,740,439","1,353,693","1,081,634","1,207,398","635,094","1,124,231","796,171","792,382","1,223,046","1,247,402","1,014,305","838,304","726,773","1,126,295","1,200,489"
arabonate/xylonate,Method 4,,,,,,"1,367,792","2,609,703","3,500,298","2,688,057","2,781,006","3,075,536","3,066,351","3,742,766","2,318,620","3,627,957","2,353,372","2,395,957","3,453,054","1,236,832","2,129,603","3,024,873","1,254,141","2,382,841","2,672,063","5,570,056","1,579,351","2,241,743","2,276,654","2,795,174"
arachidonate (20:4n6),Method 3,506-32-1,444899,392692,C00219,HMDB01043,"25,161,488","32,653,486","34,418,652","69,795,312","104,563,048","55,184,240","82,914,944","74,901,056","291,374,944","152,227,216","109,025,992","96,124,416","166,298,224","102,924,600","200,662,688","95,800,920","106,382,600","82,108,720","192,712,320","182,814,352","347,944,320","81,408,064","273,580,544","275,522,784"
arginine,Method 1,1119-34-2,232,227,C00062,HMDB00517,"16,074,385","16,408,488","13,455,296","19,447,402","17,982,820","17,654,988","19,623,842","23,316,980","29,398,800","27,522,016","18,055,628","20,263,168","20,192,780","9,193,953","25,914,740","13,387,764","35,083,832","21,578,100","39,125,944","46,013,492","32,142,620","37,162,816","27,225,466","30,636,552"
ascorbate (Vitamin C),Method 3,134-03-2,,10189562,C00072,HMDB00044,"40,016,944","34,863,544","50,573,380","53,507,316","72,551,808","69,749,328","83,669,792","53,325,700","33,338,130","44,513,848","69,390,760","45,260,564","39,210,068","43,214,944","30,945,038","37,683,492","18,434,798","63,644,044","19,642,208","99,564,896","36,929,072","45,198,508","56,307,800","96,033,232"
asparagine,Method 4,70-47-3,6267,6031,C00152,HMDB00168,"1,188,028","2,650,348","1,552,119","1,532,159","1,887,120","1,716,904","1,900,498","2,692,972","2,258,862","2,585,510","2,095,145","1,432,306","4,232,431","1,542,697","4,276,339","2,499,067","4,429,208","3,495,787","8,368,599","8,196,164","4,815,253","4,693,257","5,240,173","6,388,472"
aspartate,Method 1,56-84-8,5960,5745,C00049,HMDB00191,"46,270,420","84,872,824","47,808,772","50,833,616","42,267,752","34,462,740","62,900,016","51,294,232","45,932,056","70,237,752","77,705,584","46,450,984","107,802,920","75,959,216","60,885,432","135,003,536","67,465,392","73,476,928","51,930,620","115,265,248","101,211,784","94,486,056","120,773,288","65,557,616"
azelate (nonanedioate),Method 4,123-99-9,2266,2179,C08261,HMDB00784,"208,678","595,850","294,849","298,207","274,921","360,449","249,449","309,705","494,877","407,968","294,121","177,307","1,051,054","167,114","729,905","556,386","492,278","572,500","979,516","964,693","844,019","448,566","434,432","581,279"
benzoate,Method 3,65-85-0,243,238,C00180,HMDB01870,"9,770,299","16,659,260","14,215,087","14,573,771","13,131,003","19,220,214","10,510,905","19,884,014","18,196,808","25,687,702","10,839,785","15,592,051","10,117,651","3,142,164","16,352,070","19,298,794","16,538,459","3,784,032","15,185,235","8,664,574","14,449,684","13,573,275","13,609,961","9,933,902"
beta-hydroxyisovalerate,Method 4,625-08-1,69362,62571,,HMDB00754,,"175,303","157,643","106,394","170,639","164,800","180,864","140,188","225,169","100,995","175,303","151,366","184,728","122,750","377,309","79,376","135,154","151,455","263,744","201,999","268,840","252,493","207,645","320,872"
beta-hydroxyisovaleroylcarnitine,Method 1,99159-87-2,,21403176,,,"19,933,006","27,959,024","29,935,414","30,872,698","24,891,448","68,109,256","29,128,528","31,862,422","25,697,432","26,897,628","27,648,482","29,389,644","32,948,186","21,872,394","24,688,368","33,466,278","22,952,194","18,194,348","27,370,426","26,460,586","19,459,522","18,089,964","20,933,108","33,593,912"
betaine,Method 1,107-43-7,247,"24,219,951,173",C00719,HMDB00043,"155,458,880","171,207,680","190,567,280","205,021,232","187,803,584","310,143,488","217,029,840","200,774,400","194,764,320","257,334,640","250,380,832","198,240,464","223,646,080","296,944,704","241,487,152","431,478,272","285,299,296","364,326,848","222,865,072","380,872,288","210,140,432","221,837,536","327,476,864","228,726,992"
betaine aldehyde,Method 1,7758-31-8,249,244,C00576,HMDB01252,"6,965,293","5,515,512","9,497,258","12,539,649","15,728,104","8,249,113","10,389,246","9,140,006","22,170,870","12,486,760","7,527,747","11,976,744","7,224,546","4,453,206","7,392,378","10,493,148","10,835,207","2,731,832","5,328,576","8,636,662","5,751,934","8,839,958","8,693,291","7,971,924"
biopterin,Method 1,22150-76-1,445040,392795,C06313,HMDB00468,,"381,647","328,533",,,"100,638",,"230,672","221,811",,"404,845","249,303","346,278","258,644","302,848","217,423","174,753","496,773","344,429","355,311","471,076",,"199,417","102,158"
butyrylcarnitine,Method 1,25576-40-3,439829,184820,C02862,HMDB02013,"47,437,540","77,476,144","66,699,396","72,328,224","57,228,728","180,468,192","84,450,704","75,610,184","69,131,632","84,367,704","100,613,648","95,932,616","111,885,328","96,924,128","104,017,936","83,161,672","121,578,352","121,616,760","181,713,184","160,761,408","120,850,880","103,711,224","103,874,448","221,848,016"
butyrylglycine,Method 3,20208-73-5,88412,79766,,HMDB00808,"99,290","203,420","94,331","195,292","106,980","199,401","66,797","28,250","58,668",,"102,088","17,966","164,643","87,877","64,680","65,560","175,874","420,519","268,410","81,864","32,191","90,072","41,987","44,034"
C-glycosyltryptophan,Method 1,180509-18-6,10981970,9157171,,,"1,657,291","2,265,259","2,718,138","2,086,906","2,526,029","2,403,187","2,285,262","3,202,357","2,167,707","3,627,174","3,078,651","2,060,323","3,271,664","3,327,318","3,140,677","3,015,894","2,813,779","3,808,712","3,970,699","4,577,305","4,101,284","2,290,622","4,186,558","3,550,250"
cadaverine,Method 1,462-94-2;1476-39-7,273,13866593,C01672,HMDB02322,"1,084,142",,"1,443,293",,,,,,,,"784,691",,,,,,,,,,,,,
caproate (6:0),Method 3,142-62-1,8892,8552,C01585,HMDB00535,"472,170",,,"703,604",,"522,667",,"718,310",,"515,739",,,,,"672,048",,"785,150",,"1,094,337","455,106",,"706,567",,
caprylate (8:0),Method 3,124-07-2,379,370,C06423,HMDB00482,,,"829,461","1,639,482",,"530,850","1,990,578","1,448,029","2,228,148","2,469,318",,,"1,503,717",,"1,834,746","1,185,070",,,,,"1,938,044",,,
carnitine,Method 1,461-05-2,10917,10455,C00318,HMDB00062,"247,064,512","400,240,928","300,585,760","283,405,632","330,752,736","311,439,072","356,039,136","397,695,328","343,731,328","479,546,496","473,608,064","508,330,496","335,632,128","344,470,848","323,972,896","368,211,488","437,152,544","326,871,424","426,932,384","409,152,128","331,813,856","342,813,824","384,119,200","480,226,656"
carnosine,Method 3,305-84-0,439224,388363,C00386,HMDB00033,"104,887","255,252","167,209","246,743","451,221","144,249","366,441","332,597","232,594","467,216","365,982","154,505","70,085","150,361","145,012","72,794","213,703","110,831","337,075","81,757","84,201","159,907","152,694","120,076"
catechol sulfate,Method 3,4918-96-1,3083879,2341024,C00090,HMDB59724,,"206,366","17,941","163,511","147,283","32,076",,,,"386,009","25,856",,,,,,"42,335","494,517","146,643",,,,,"16,210"
chenodeoxycholate,Method 3,474-24-9;474-25-9,10133,,C02528,HMDB00518,,,,,,,,,,,,,,,,,,,,,,,,
cholate,Method 3,81-25-4,221493,,C00695,HMDB00619,,,,,,,,,,,,,,,,,,,,,,,,
choline,Method 1,67-48-1,305,149278,C00114,HMDB00097,"960,810,176","867,889,408","901,814,592","1,070,213,632","1,308,093,696","994,966,272","1,053,219,840","916,384,512","1,068,911,680","911,683,392","918,076,096","988,357,888","786,197,824","646,803,584","695,764,224","692,607,552","1,015,773,696","702,038,976","764,171,456","901,844,160","643,258,752","960,849,408","807,806,400","933,301,760"
choline phosphate,Method 1,72556-74-2,1014,119298,C00588,HMDB01565,"2,893,736,448","3,708,498,688","2,966,110,720","3,648,345,600","4,304,785,920","4,984,075,264","4,011,241,472","4,466,302,464","3,724,387,328","3,908,401,920","3,003,340,800","4,029,937,408","2,347,122,944","2,309,882,368","3,911,195,392","2,394,628,352","4,075,118,592","4,198,282,240","3,012,468,224","3,721,780,736","3,564,437,504","4,291,236,096","3,580,512,000","4,258,583,040"
cinnamoylglycine,Method 3,16534-24-0,709625,618829,,HMDB11621,,"845,843","125,170","128,657","97,850",,,,,,,,,,,,,"1,063,960","57,083",,,,,"50,980"
cis-4-decenoyl carnitine,Method 1,98930-66-6,,,,,"380,961","682,440","445,993","715,505","241,530","1,252,138","990,594","1,027,780",,"2,247,752","2,262,296","1,864,959","973,371","632,621","293,478","1,275,333","620,824","1,549,948","823,279","977,107","1,398,091","698,746","1,059,923","760,424"
citrate,Method 3,77-92-9,311,305,C00158,HMDB00094,"3,888,165,376","5,700,242,944","5,169,211,392","3,936,405,248","4,940,602,880","5,526,607,360","5,209,093,632","4,401,702,400","3,308,178,688","4,649,445,888","5,593,884,672","5,642,793,472","5,606,642,688","7,323,190,272","6,647,508,480","6,512,102,912","3,566,698,496","6,833,751,552","5,112,481,792","6,084,716,544","6,654,014,976","3,309,472,256","5,953,155,072","5,935,826,432"
citrulline,Method 1,372-75-8,9750,810,C00327,HMDB00904,"17,440,432","16,899,878","18,661,450","16,787,566","31,792,542","22,141,158","30,728,224","26,887,332","21,683,392","40,373,780","31,835,278","26,548,180","18,416,628","9,134,544","16,322,431","16,350,220","20,920,632","20,852,344","34,891,852","27,751,242","23,632,924","28,299,588","29,549,424","34,897,532"
coenzyme A,Method 3,85-61-0;18439-24-2,317,311,C00010,HMDB01423,"164,251",,"248,188","48,297","52,609","204,362","214,462",,,,"270,348","151,448","57,686","175,542",,"310,671",,"292,528",,"164,251",,"84,643","282,396","414,087"
creatine,Method 1,57-00-1,586,566,C00300,HMDB00064,"2,433,339,136","2,843,437,312","2,666,329,088","2,715,331,328","2,967,149,056","3,033,508,096","3,031,763,968","3,871,036,416","3,129,431,552","3,897,303,808","3,607,290,112","2,871,686,400","2,070,444,416","1,794,215,808","2,013,064,064","1,838,518,656","2,199,890,944","2,111,913,472","3,131,175,936","2,519,130,624","2,080,770,688","2,163,366,912","2,631,605,248","2,846,147,328"
creatine phosphate,Method 3,922-32-7,587,567,C02305,HMDB01511,"7,934,988","6,245,141","11,650,781","5,739,768","3,757,117","8,901,863","3,658,219","8,928,512","1,395,729","6,942,865","7,445,895","4,669,065","2,394,862","4,253,566","2,599,865","5,312,865","2,904,452","3,297,444","2,760,128","2,562,257","3,037,062","2,437,280","3,854,773","3,298,562"
