,,,,,,SAMPLE_NAME,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
BIOCHEMICAL,PLATFORM,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,DFCI-01579,DFCI-01580,DFCI-01581,DFCI-01582,DFCI-01583,DFCI-01584,DFCI-01585,DFCI-01586,DFCI-01587,DFCI-01588,DFCI-01589,DFCI-01590,DFCI-01591,DFCI-01592,DFCI-01593,DFCI-01594,DFCI-01595,DFCI-01596,DFCI-01597,DFCI-01598,DFCI-01599,DFCI-01600,DFCI-01601,DFCI-01602
1-linoleoyl-GPE (18:2)*,Method 3,,52925130,21403170,,HMDB11507,,"148,392","374,026","258,374","451,607","351,393","505,049","921,618","1,087,732","1,224,983","943,497","943,497","6,624,983","2,856,565","4,607,569","2,672,071","823,336","1,609,253","1,727,137","4,764,570","8,677,821","1,693,460","6,201,050","9,755,737"
1-linoleoyl-GPI (18:2)*,Method 3,,,,,,,,"265,078","99,759","254,761","222,338","155,439","499,619","633,671","539,236","408,860","433,821","952,731","315,588","815,560","277,784","215,369","166,512","631,301","925,257","1,624,935","638,307","1,273,749","2,482,812"
1-linoleoylglycerol (18:2),Method 3,2277-28-3,5283469,4446589,,,"2,246,367","2,784,962","5,074,045","4,642,701","5,946,348","3,902,421","6,720,022","8,443,171","10,595,658","9,827,310","9,019,618","7,321,405","60,130,044","14,941,705","21,606,808","9,703,106","12,219,287","6,100,857","38,297,752","22,384,400","49,292,584","9,728,028","30,295,874","54,406,532"
1-methylhistamine,Method 1,501-75-7,3614,3488,C05127,HMDB00898,"5,134,211","7,445,855","5,656,684","6,436,170","10,734,206","5,077,178","7,744,428","4,186,732","4,756,236","7,367,095","10,544,164","3,724,494","13,064,267","13,349,575","13,838,721","11,013,094","8,478,187","14,971,302","11,506,751","11,970,184","11,677,179","7,777,690","14,734,905","8,430,445"
1-methylimidazoleacetate,Method 1,2625-49-2,75810,68319,C05828,HMDB02820,"346,715","2,210,319","908,822","378,731","873,578","713,962","616,591","260,130","525,478","801,563","948,343","316,824","1,224,084","270,579","578,277","936,242","1,827,167","5,811,420","3,456,310","738,879","682,469","1,317,814","786,973","651,731"
1-methylnicotinamide,Method 1,1005-24-9,10129985,8305504,C02918,HMDB00699,"1,162,120",,"668,342","984,432","637,044",,"5,214,423","3,250,246","3,230,861","3,113,018",,"1,901,184","2,443,356","1,268,449","678,774","3,022,969","1,184,437","1,955,829","3,300,147","3,657,757","1,897,316","2,703,552","2,846,934","2,088,460"
1-oleoyl-2-linoleoyl-GPI (18:1/18:2)*,Method 4,,,,,,"729,081","722,933","655,660","678,258","872,697","695,176","641,678","413,920","477,591","403,636","598,510","588,606","395,598","440,437","393,352","601,388","613,100","527,150","866,688","696,153","522,475","740,301","591,459","753,955"
1-oleoyl-GPC (18:1),Method 1,19420-56-5,16081932,17240641,,HMDB02815,"1,889,093","6,555,233","3,496,190","2,601,192","5,442,899","5,339,501","1,163,147","7,074,656","11,996,088","53,928,024","11,543,988","2,009,461","15,256,762","1,152,709","30,511,230","7,020,944","27,465,102","21,363,332","28,566,242","27,049,268","102,314,832","15,360,275","22,898,706","5,805,881"
1-oleoyl-GPE (18:1),Method 3,89576-29-4,9547071,7826021,,HMDB11506,"1,182,185","2,226,946","3,301,402","3,627,297","6,719,485","3,177,325","4,598,075","8,065,802","7,799,435","8,559,770","6,232,992","7,848,070","44,845,580","30,235,060","41,961,516","23,721,212","9,872,412","18,945,218","14,309,707","37,301,896","59,595,640","17,363,188","44,436,880","50,842,388"
1-oleoyl-GPG (18:1)*,Method 3,,,,,,,"203,393","301,114","140,459","702,042","449,112","568,900","949,155","1,529,003","873,205","719,335","623,469","3,544,477","1,416,828","2,493,242","1,008,915","1,131,332","647,884","1,388,849","2,682,185","5,437,389","903,967","4,046,142","8,023,446"
1-oleoyl-GPI (18:1)*,Method 3,,,,,,"115,268","300,538","709,816","286,965","845,880","554,758","498,661","1,483,269","1,825,644","800,943","704,723","1,149,689","2,363,965","1,799,333","3,014,763","902,979","1,087,274","1,038,235","1,426,653","4,306,298","6,377,666","1,117,026","3,246,467","9,051,518"
1-oleoyl-GPS (18:1),Method 3,,9547099,7826049,,,,"167,039","233,916",,,"141,138",,"514,031","808,072","639,518","300,323","614,976","1,050,540","1,248,461","1,620,820","1,033,787","287,334","528,940","462,626","1,633,159","2,693,548",,"2,608,669","3,164,863"
1-oleoylglycerol (18:1),Method 3,111-03-5,5283468,4446588,,HMDB11567,"10,269,736","16,243,414","22,241,968","19,072,792","20,102,898","10,723,728","17,402,498","25,827,802","42,758,476","30,560,734","32,272,382","27,793,882","141,646,208","49,094,136","98,675,792","28,887,642","41,760,748","29,183,234","98,253,640","36,401,832","180,865,840","23,945,392","88,386,728","133,610,256"
1-palmitoleoyl-GPC (16:1)*,Method 3,,24779461,21403152,,HMDB10383,,,"100,847",,"364,464",,,"216,069",,"380,933","171,484","164,637","3,800,409","1,055,933","2,654,648","1,282,172","580,005","809,220","753,340","1,848,025","3,115,009","757,849","2,003,551","2,927,686"
1-palmitoleoylglycerol (16:1)*,Method 3,,,,,,"834,957","1,019,693","1,096,506","1,152,437","2,052,649","1,757,934","867,066","1,619,723","2,905,590","2,305,349","2,418,986","1,715,159","15,713,941","3,953,199","6,051,435","2,052,903","4,087,835","1,501,592","6,495,621","4,849,017","9,815,519","1,981,057","6,351,007","13,518,417"
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4),Method 4,35418-58-7,10747814,8923140,,,"4,782,131","8,500,497","7,454,003","7,084,766","8,055,793","9,414,873","6,485,197","7,400,433","7,231,255","7,483,295","6,223,561","7,277,842","3,314,991","4,042,584","5,433,749","5,050,760","5,402,033","5,923,203","7,211,643","4,794,241","5,077,776","5,581,831","5,912,921","5,926,980"
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Method 4,,,,,,"796,300","1,743,091","1,399,002","853,345","1,155,385","1,647,449","970,937","1,359,670","1,221,188","1,368,301","1,033,818","1,240,086",,"276,619","457,389","530,203","716,861","551,950","1,015,228","576,973","514,108","695,198","397,177","817,587"
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Method 4,,,,,,"1,552,086","1,551,863","1,471,640","1,467,256","1,805,722","1,565,173","1,312,994","803,357","978,688","923,695","1,338,889","1,210,237","734,935","815,519","843,111","1,308,697","1,140,779","1,014,339","1,453,591","1,102,749","934,291","1,343,467","1,029,781","1,231,106"
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,Method 4,,,,,,"455,211","1,345,414","949,982","885,290","1,032,075","1,246,654","700,726","882,608","822,226","1,146,415","697,029","841,791",,"431,534","667,710","667,039","913,395","634,685","1,624,039","598,739","528,265","966,396","645,901","1,139,539"
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)*,Method 4,40811-94-7,5287971,4450224,,,"2,693,786","3,353,870","3,820,814","3,293,795","3,149,895","4,112,640","2,866,608","3,410,962","2,977,174","3,587,910","3,228,916","3,131,415","2,958,650","1,973,016","3,341,509","3,138,855","2,962,710","2,362,983","4,408,294","3,139,647","3,195,582","3,211,436","3,333,942","3,600,222"
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Method 4,,,21403024,,,"998,547","1,438,663","1,556,094","1,120,406","1,289,012","1,451,315","1,076,692","1,020,538","1,061,963","775,165","1,172,205","1,458,457","471,590","629,401","620,563","736,100","624,982","696,185","878,513","986,927","834,127","842,665","717,154","1,327,267"
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)*,Method 4,26853-31-6;26853-31-6,6436017,4940699,,,"2,698,878","3,970,345","3,627,665","3,557,865","3,744,448","4,240,804","2,790,879","3,605,815","2,953,642","3,251,316","3,141,578","2,851,371","2,208,198","2,406,030","3,059,939","3,137,286","3,466,781","2,996,359","4,473,889","3,080,032","2,941,181","3,204,091","3,371,206","3,287,884"
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Method 4,,,,,,"322,673","725,044","536,896","408,375","564,821","735,166","271,066","368,259","309,832","332,715","292,557","341,577","588,653","456,864","688,367","529,738","785,973","560,113","797,888","607,735","562,883","527,680","502,670","672,949"
1-palmitoyl-GPA (16:0),Method 3,17618-08-5,6419701,4925335,C04036,HMDB00327,,"1,253,822","1,654,627",,,"1,420,294",,"2,083,422","1,867,466","891,542",,"1,698,181",,"1,233,216","1,730,939","2,452,552","2,492,389","1,107,769","975,765","1,305,110","3,028,505",,"1,511,273","2,331,270"
1-palmitoyl-GPC (16:0),Method 1,17364-16-8,86554,78064,,HMDB10382,"12,924,320","40,302,408","21,219,598","18,137,160","34,782,508","40,287,884","8,331,295","40,505,176","64,040,040","283,595,168","73,567,240","12,563,452","42,905,336","4,742,704","91,621,400","24,618,064","93,302,392","66,783,744","75,705,464","59,916,696","241,310,544","45,209,208","70,765,488","21,036,380"
1-palmitoyl-GPE (16:0),Method 3,,9547069,7826019,,HMDB11503,"2,119,431","4,747,761","6,241,612","5,995,788","11,549,687","6,215,385","7,203,675","11,286,548","9,443,113","12,854,382","10,414,492","10,254,266","25,964,706","19,962,066","29,249,176","20,776,764","9,267,164","16,829,340","10,807,301","21,891,140","32,528,172","14,320,952","25,491,218","26,554,742"
1-palmitoyl-GPG (16:0)*,Method 3,,3300276,2548639,,,,,,,"94,460",,,"262,700","155,468","207,194","195,731","130,970","3,121,369","996,164","2,116,650","2,332,105","537,348","1,199,831","638,973","2,035,381","3,360,279","1,045,816","2,939,006","1,453,685"
