"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"
"M3_Mouse_15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01641-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"M4_Mouse_16"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01642-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"M5_Mouse_17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01643-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"M6_Mouse_18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01644-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Control Group"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28143"
"N1_Mouse_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01645-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"N2_Mouse_20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01646-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"N3_Mouse_21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01647-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"N4_Mouse_22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01648-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"N5_Mouse_23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01649-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
"N6_Mouse_24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"blood serum"	"EFO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"FVB"	""	""	"Sample collection"	"DFCI-01650-GC-01"	"male"	"EFO"	"http://purl.obolibrary.org/obo/PATO_0000384"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Hi-MYC"	""	""	"Diet, High-Fat"	"MESH"	"http://purl.bioontology.org/ontology/MESH/D059305"
