,molecular_weight
C07838,290.040283
C07839,204.089878
C07843,273.06872
C07844,262.131742
C07846,254.108899
C07868,299.140055
C07877,270.113506
C07881,289.204179
C07886,291.011958
C07887,288.220164
C07888,260.02482
C07890,254.126657
C07892,293.199094
C07894,272.129156
C07895,294.194343
C07898,246.092376
C07905,270.061612
C07906,240.048797
C07910,258.064057
C07912,200.131349
C07913,244.193949
C07914,291.183444
C07927,260.173607
C07928,202.039672
C07930,245.045486
C07934,221.105193
C07935,269.177964
C07937,234.007468
C07949,273.063722
C07971,255.922578
C07995,298.03278
C07999,225.03857
C08002,287.057591
C08010,245.177964
C08014,257.177964
C08024,299.152144
C08050,270.024517
C08051,236.023158
C08052,262.058971
C08061,201.078979
C08062,233.068808
C08071,287.1674
C08079,291.1987
C08090,266.13068
C08094,215.144077
C08159,293.164046
C08162,296.17763
C08163,285.101445
C08195,257.081871
C08233,283.001075
C08236,210.073953
C08249,277.058948
C08255,212.089603
C08260,212.089603
C08271,202.095357
C08272,215.08071
C08275,254.039498
C08277,202.120509
C08280,270.121572
C08282,280.24023
C08285,288.23006
C08286,204.12224
C08299,204.126263
C08309,218.141913
C08310,225.136493
C08312,204.126263
C08315,278.22458
C08317,216.172545
C08318,296.235145
C08319,292.203845
C08321,280.24023
C08322,226.19328
C08328,275.100502
C08329,271.105587
C08332,261.121237
C08334,261.121237
C08338,259.105587
C08340,275.100502
C08341,291.095417
C08344,287.100502
C08355,210.073953
C08362,254.22458
C08363,282.25588
C08364,278.22458
C08365,298.250795
C08366,294.25588
C08367,282.25588
C08368,296.235145
C08388,212.250401
C08396,271.193614
C08397,216.006742
C08402,258.16198
C08431,251.101839
C08432,283.091669
C08435,203.117095
C08445,240.151415
C08449,260.17763
C08450,244.182715
C08451,242.167065
C08452,214.09938
C08455,214.062994
C08458,200.08373
C08459,280.24023
C08460,247.978812
C08461,228.006742
C08462,228.006742
C08465,258.089209
C08466,244.073559
C08472,299.079373
C08475,283.080435
C08477,239.058243
C08478,289.058637
C08480,205.037508
C08481,295.105587
C08482,212.141245
C08485,280.109944
C08491,210.125594
C08496,277.091
C08506,266.054754
C08507,267.095417
C08509,212.141245
C08512,276.084517
C08519,287.115758
C08521,271.120843
C08526,287.152144
C08531,291.074287
C08532,287.115758
C08534,285.136493
C08538,211.048072
C08561,278.100168
C08566,268.069536
C08570,294.095082
C08574,255.065734
C08575,287.055563
C08576,286.047738
C08578,272.068473
C08644,254.057909
C08650,256.073559
C08652,271.060648
C08720,286.047738
C08722,282.052823
C08724,288.063388
C08728,285.039913
C08730,270.052823
C08731,256.109944
C08739,290.079038
C08741,200.08373
C08742,290.079038
C08743,244.073559
C08744,218.094294
C08762,230.094294
C08844,286.084124
C08929,274.084124
C08948,274.084124
C08974,286.084124
C08979,218.094294
C08992,202.09938
C08993,270.089209
C09003,272.141245
C09005,232.109944
C09006,218.094294
C09007,250.09938
C09008,264.042259
C09010,260.068473
C09012,206.057909
C09014,272.104859
C09015,262.120509
C09016,290.115424
C09018,220.109944
C09023,238.146999
C09029,274.084124
C09030,290.079038
C09033,296.188863
C09036,264.162649
C09044,286.084124
C09047,272.068473
C09049,230.057909
C09052,266.141913
C09053,270.089209
C09054,240.162649
C09061,284.141245
C09083,265.157898
C09092,286.229666
C09094,290.260966
C09098,220.063663
C09131,256.157563
C09140,272.250401
C09142,232.100048
C09146,296.188863
C09149,294.173213
C09154,246.115698
C09160,267.137162
C09165,254.094294
C09171,274.156895
C09176,291.158292
C09197,298.204513
C09210,246.089209
C09212,236.058578
C09213,246.136828
C09215,280.193949
C09222,293.141579
C09223,287.152144
C09224,289.167794
C09225,291.183444
C09228,225.078979
C09230,246.115698
C09231,264.089878
C09232,262.131742
C09235,282.209599
C09238,287.105862
C09240,272.131349
C09243,216.126263
C09245,249.996761
C09259,246.089209
C09265,208.037173
C09269,270.089209
C09271,222.052823
C09273,258.089209
C09276,246.089209
C09277,288.063388
C09278,246.089209
C09280,244.109944
C09281,298.156895
C09282,286.084124
C09283,258.089209
C09285,246.052823
C09287,246.125594
C09289,232.14633
C09291,264.136159
C09292,246.125594
C09295,250.156895
C09300,246.125594
C09301,248.141245
C09302,278.115424
C09304,264.136159
C09311,206.057909
C09312,228.078644
C09313,236.068473
C09314,228.078644
C09317,228.078644
C09320,274.084124
C09321,224.08373
C09338,281.105193
C09339,265.110279
C09340,297.136493
C09344,262.120509
C09345,248.141245
C09346,280.131074
C09349,264.136159
C09350,234.16198
C09354,278.115424
C09355,264.136159
C09363,278.115424
C09368,267.125929
C09375,221.141579
C09376,234.16198
C09378,248.141245
C09379,278.115424
C09381,264.136159
C09382,232.14633
C09383,232.14633
C09384,232.14633
C09386,248.141245
C09387,230.13068
C09392,260.104859
C09394,246.125594
C09396,262.120509
C09397,292.094688
C09399,234.16198
C09404,244.109944
C09406,230.13068
C09408,232.14633
C09409,234.16198
C09422,285.136493
C09440,248.141245
C09445,237.136493
C09450,262.120509
C09453,264.136159
C09454,232.14633
C09456,264.136159
C09457,297.136493
C09466,232.14633
C09470,264.136159
C09471,288.099774
C09472,262.120509
C09473,262.120509
C09476,246.125594
C09480,280.131074
C09481,264.136159
C09482,282.146724
C09484,232.14633
C09485,278.115424
C09488,248.141245
C09489,276.099774
C09492,290.151809
C09495,260.104859
C09498,264.136159
C09503,232.109944
C09504,262.120509
C09505,256.109944
C09506,264.136159
C09507,248.141245
C09508,262.120509
C09511,290.079038
C09519,220.14633
C09523,262.120509
C09529,292.094688
C09530,264.136159
C09531,264.136159
C09534,248.141245
C09537,248.141245
C09538,282.146724
C09540,264.136159
C09542,264.136159
C09544,248.141245
C09545,246.125594
C09546,285.172879
C09548,276.136159
C09552,262.120509
C09556,248.141245
C09562,248.141245
C09564,290.151809
C09566,290.151809
C09567,275.058243
C09569,297.100108
C09570,294.110338
C09571,249.172879
C09573,235.120843
C09574,264.136159
C09582,276.099774
C09584,276.099774
C09588,295.120843
C09589,295.120843
C09594,299.152144
C09600,264.136159
C09601,246.125594
C09604,237.136493
C09605,246.125594
C09606,246.125594
C09613,295.120843
C09614,272.068473
C09618,258.089209
C09621,222.198365
C09623,276.172545
C09625,204.187801
C09626,248.141245
C09627,236.17763
C09628,222.198365
C09629,204.187801
C09630,204.187801
C09631,222.198365
C09632,238.19328
C09635,204.187801
C09637,204.187801
C09639,204.187801
C09641,242.094294
C09644,272.104859
C09645,252.172545
C09646,286.120509
C09647,204.187801
C09648,204.187801
C09649,202.172151
C09650,256.109944
C09651,222.198365
C09652,238.19328
C09653,238.19328
C09657,264.172545
C09658,230.13068
C09660,248.141245
C09663,222.198365
C09664,222.198365
C09665,204.187801
C09666,204.187801
C09670,295.120843
C09672,204.187801
C09673,220.14633
C09674,296.162374
C09676,222.198365
C09677,234.16198
C09678,236.17763
C09680,260.104859
C09681,236.17763
C09682,222.198365
C09683,264.136159
C09684,204.187801
C09686,234.16198
C09687,248.141245
C09688,264.136159
C09689,250.156895
C09690,206.167065
C09691,204.187801
C09692,232.14633
C09693,266.188195
C09694,266.188195
C09695,260.141245
C09696,210.104465
C09698,222.198365
C09699,204.187801
C09700,236.17763
C09701,262.120509
C09702,266.151809
C09704,222.198365
C09705,222.198365
C09707,280.131074
C09708,264.136159
C09709,294.183109
C09710,232.14633
C09711,250.156895
C09712,234.16198
C09715,222.16198
C09717,266.151809
C09718,204.187801
C09719,220.182715
C09720,220.182715
C09721,234.16198
C09722,238.19328
C09723,204.187801
C09727,290.079038
C09728,290.079038
C09729,218.167065
C09730,218.167065
C09733,236.17763
C09735,274.084124
C09736,290.079038
C09737,218.167065
C09739,234.16198
C09740,204.187801
C09741,292.167459
C09743,234.16198
C09744,218.167065
C09745,218.167065
C09747,296.125988
C09748,250.156895
C09749,204.187801
C09750,204.187801
C09751,272.068473
C09757,226.09938
C09762,256.073559
C09778,244.073559
C09780,226.084124
C09787,290.079038
C09796,290.079038
C09816,208.073559
C09826,272.068473
C09827,256.073559
C09833,286.084124
C09850,261.172879
C09851,263.188529
C09852,275.152144
C09855,275.152144
C09856,276.183778
C09860,262.204513
C09862,245.177964
C09864,263.188529
C09865,288.220164
C09866,256.157563
C09867,261.172879
C09872,207.162314
C09874,278.199428
C09876,242.178299
C09879,275.188529
C09881,291.183444
C09883,247.193614
C09886,275.188529
C09889,274.204513
C09890,272.188863
C09892,250.240899
C09895,274.204513
C09897,242.141913
C09899,295.178358
C09901,279.183444
C09912,207.137162
C09917,244.14633
C09918,230.094294
C09920,286.084124
C09921,204.078644
C09923,260.104859
C09925,228.078644
C09926,276.099774
C09928,220.109944
C09930,232.073559
C09933,207.089543
C09936,258.125594
C09938,218.167065
C09939,270.089209
C09942,288.136159
C09943,263.188529
C09945,233.177964
C09946,211.084458
C09947,230.094294
C09949,219.162314
C09950,240.11503
C09951,262.047738
C09952,274.084124
C09954,216.078644
C09958,236.068473
C09961,205.073893
C09963,220.073559
C09964,220.037173
C09975,286.084124
C09980,258.089209
C09983,278.115424
C09984,268.170139
C09985,220.084792
C09986,207.089543
C10019,298.084124
C10023,270.052823
C10028,254.057909
C10029,282.089209
C10035,296.104859
C10036,286.047738
C10037,270.052823
C10041,286.047738
C10043,222.06808
C10044,270.052823
C10046,284.068473
C10047,284.068473
C10052,274.047738
C10053,274.047738
C10054,296.104859
C10055,294.089209
C10056,260.032088
C10060,288.063388
C10061,228.042259
C10064,288.063388
C10065,244.037173
C10066,258.052823
C10069,274.047738
C10070,258.052823
C10081,258.052823
C10082,244.037173
C10083,288.063388
C10086,260.032088
C10087,258.052823
C10088,260.032088
C10091,288.063388
C10092,274.047738
C10094,244.037173
C10097,286.047738
C10113,270.052823
C10121,254.057909
C10123,296.188863
C10125,208.157563
C10127,203.058243
C10131,298.204513
C10134,285.084852
C10136,297.266779
C10137,267.147058
C10139,261.209264
C10142,221.141579
C10148,216.126263
C10150,281.126323
C10153,287.188529
C10169,249.136493
C10171,219.162314
C10174,271.120843
C10184,286.047738
C10197,284.068473
C10199,298.084124
C10200,254.057909
C10202,298.047738
C10205,268.037173
C10208,254.057909
C10244,282.089209
C10246,284.104859
C10247,244.109944
C10253,230.094294
C10254,214.09938
C10255,230.094294
C10256,274.120509
C10257,242.094294
C10258,240.078644
C10259,298.156895
C10261,242.094294
C10262,256.073559
C10263,283.178358
C10265,284.104859
C10267,256.109944
C10268,258.089209
C10269,214.09938
C10271,258.125594
C10272,256.109944
C10273,244.073559
C10274,286.084124
C10276,226.09938
C10278,237.136493
C10281,282.16198
C10285,296.141245
C10287,256.109944
C10291,254.057909
C10292,288.099774
C10294,270.052823
C10297,256.037173
C10300,218.057909
C10312,240.042259
C10314,240.078644
C10315,254.057909
C10322,242.057909
C10323,284.068473
C10325,226.09938
C10326,299.173273
C10327,254.057909
C10329,254.057909
C10330,299.173273
C10335,204.042259
C10336,299.173273
C10337,242.094294
C10340,272.104859
C10342,294.183109
C10343,270.052823
C10347,299.173273
C10348,239.152144
C10351,244.14633
C10352,258.089209
C10354,238.062994
C10362,258.052823
C10366,242.094294
C10367,242.094294
C10369,270.052823
C10370,284.068473
C10371,228.11503
C10372,272.104859
C10374,252.042259
C10376,270.052823
C10378,299.173273
C10379,270.052823
C10390,208.109944
C10395,256.037173
C10397,270.052823
C10401,284.032088
C10402,254.057909
C10403,283.178358
C10405,222.06808
C10406,294.037567
C10414,268.073559
C10415,288.063388
C10426,234.089209
C10427,264.099774
C10429,222.089209
C10430,208.109944
C10444,287.115758
C10449,222.089209
C10451,208.109944
C10455,247.120843
C10459,292.167459
C10462,294.183109
C10467,298.047738
C10476,206.094294
C10482,278.188195
C10483,296.053217
C10484,284.104859
C10487,248.104859
C10494,276.172545
C10496,222.052823
C10497,264.147393
C10502,284.068473
C10503,270.089209
C10504,284.068473
C10505,254.094294
C10508,286.084124
C10510,286.047738
C10521,284.068473
C10522,282.052823
C10526,286.120509
C10527,298.084124
C10536,284.068473
C10540,272.104859
C10566,221.152812
C10567,207.137162
C10568,253.121512
C10571,224.152478
C10572,281.105193
C10583,239.058243
C10587,285.147727
C10590,267.173548
C10591,257.141579
C10592,211.157229
C10596,238.074228
C10605,260.116092
C10607,261.121237
C10610,286.131742
C10614,217.110279
C10615,203.094629
C10624,244.157563
C10626,261.136493
C10628,252.11503
C10630,266.13068
C10631,289.095023
C10634,283.120843
C10642,250.110613
C10643,285.100108
C10647,289.131408
C10651,266.13068
C10654,233.068808
C10661,249.078979
C10662,275.115758
C10668,269.068808
C10673,224.104859
C10674,212.068473
C10676,229.073893
C10678,273.063722
C10679,227.094629
C10681,265.073893
C10687,250.110613
C10688,236.094963
C10689,279.089543
C10694,245.068808
C10699,295.120843
C10701,259.084458
C10702,204.11503
C10703,231.125929
C10705,243.125929
C10709,210.089209
C10711,273.136493
C10714,243.053158
C10716,259.084458
C10720,298.105253
C10731,241.110279
C10734,290.139233
C10735,290.139233
C10736,215.058243
C10740,259.084458
C10741,205.073893
C10742,248.058578
C10743,204.089878
C10744,202.074228
C10747,232.157563
C10748,232.193949
C10749,264.183778
C10750,244.157563
C10751,234.173213
C10752,248.188863
C10754,262.168128
C10755,260.152478
C10756,282.194343
C10758,230.141913
C10760,204.126263
C10764,246.173213
C10766,264.136159
C10769,264.183778
C10771,250.204513
C10772,248.188863
C10774,248.188863
C10775,246.173213
C10776,264.183778
C10780,250.204513
C10781,244.157563
C10782,244.157563
C10783,234.209599
C10789,244.157563
C10790,244.157563
C10791,244.157563
C10793,246.16198
C10800,292.24023
C10840,266.151809
C10843,271.157229
C10844,285.136493
C10846,205.110279
C10847,289.131408
C10848,245.141579
C10849,273.08572
C10853,261.136493
C10856,291.147058
C10857,219.125929
C10859,289.167794
C10860,289.167794
C10861,255.147058
C10862,275.152144
C10863,291.147058
C10867,269.141579
C10868,223.157229
C10869,241.167794
C10878,282.125594
C10896,290.13789
C10902,207.064391
C10903,274.19328
C10909,221.062283
C10911,260.01604
C10914,225.126597
C10917,244.949503
C10918,231.125929
C10919,223.110947
C10923,211.063329
C10924,227.058243
C10925,269.118257
C10926,252.158626
C10927,253.136116
C10928,269.118257
C10930,202.085461
C10944,243.162314
C10947,279.147058
C10948,277.09819
C10953,283.133907
C10954,291.125929
C10956,267.056529
C10958,267.100777
C10963,216.066555
C10964,259.016684
C10965,240.056863
C10968,204.089878
C10981,284.995949
C10986,283.016684
C10987,242.985384
C10995,293.189198
C10999,266.037754
C11000,205.964983
C11005,206.141913
C11007,248.011933
C11009,291.961418
C11011,228.066555
C11019,281.137556
C11020,233.98505
C11030,298.0541
C11032,254.925676
C11037,263.881559
C11041,204.951975
C11042,281.813116
C11045,294.121572
C11057,289.922361
C11060,264.136159
C11065,282.980299
C11071,208.121178
C11075,236.116092
C11076,256.222472
C11077,267.147058
C11079,238.142976
C11080,237.060568
C11082,242.206822
C11084,253.11365
C11085,269.108564
C11087,257.064113
C11091,257.813116
C11095,239.071306
C11102,261.084852
C11104,261.084852
C11107,275.064116
C11110,255.052302
C11111,290.06465
C11113,260.134719
C11114,261.129968
C11122,284.011933
C11124,297.266779
C11127,295.108755
C11146,251.962954
C11155,212.068473
C11156,293.093104
C11160,239.988331
C11163,292.121178
C11164,204.020274
C11165,210.07145
C11166,288.137125
C11169,255.013618
C11172,201.078123
C11178,229.037508
C11181,209.095297
C11184,289.057605
C11188,274.063969
C11193,259.157229
C11200,234.136828
C11207,253.157898
C11232,242.116761
C11252,205.990135
C11255,235.066699
C11262,244.08077
C11263,225.101445
C11264,238.062994
C11265,268.092003
C11277,273.06269
C11281,265.131408
C11284,203.094629
C11285,297.303165
C11290,247.040006
C11319,228.00185
C11326,299.061614
C11329,287.148121
C11332,244.178693
C11333,286.189257
C11337,240.048797
C11342,261.063722
C11350,206.167065
C11355,225.063722
C11358,224.188863
C11379,294.173213
C11381,245.141579
C11425,242.057909
C11426,242.057909
C11428,212.08373
C11433,208.088815
C11434,216.039889
C11437,214.024239
C11445,208.05243
C11446,226.062994
C11453,277.995655
C11467,253.058637
C11468,235.048072
C11484,297.147727
C11485,240.126263
C11486,282.136828
C11490,220.051778
C11491,216.078644
C11492,230.094294
C11494,288.147393
C11495,288.147393
C11496,200.0177
C11498,200.0177
C11500,265.081104
C11501,281.076018
C11510,209.940598
C11512,224.141245
C11536,249.954839
C11544,268.079432
C11546,254.100168
C11565,273.126597
C11570,276.012411
C11571,268.103419
C11577,284.068473
C11585,256.004159
C11593,299.109233
C11611,256.094688
C11621,268.073559
C11628,207.033003
C11631,282.060034
C11633,292.157563
C11634,292.157563
C11635,294.173213
C11685,271.05307
C11686,251.022832
C11690,208.076726
C11696,266.163043
C11697,286.131742
C11698,265.184193
C11703,211.120843
C11707,229.146664
C11711,215.079373
C11716,240.139326
C11723,236.116092
C11732,230.070795
C11733,258.303499
C11736,246.0652
C11739,266.116761
C11740,292.132411
C11747,244.051778
C11763,222.136828
C11766,250.168128
C11767,281.156183
C11769,288.114378
C11770,239.152144
C11772,247.05307
C11779,299.152144
C11782,287.152144
C11785,271.120843
C11788,241.18305
C11789,231.162314
C11792,247.157229
C11795,299.188529
C11798,285.184112
C11800,230.065988
C11801,226.125217
C11802,214.088832
C11811,262.00074
C11819,286.131742
C11834,214.09938
C11839,213.100108
C11840,297.194008
C11841,241.131408
C11844,213.136493
C11847,244.121178
C11848,259.157229
C11849,286.250795
C11872,288.245316
C11873,286.229666
C11877,272.250401
C11878,272.250401
C11879,272.250401
C11880,272.250401
C11881,272.250401
C11882,288.245316
C11883,288.245316
C11884,288.245316
C11885,286.229666
C11886,286.229666
C11887,286.229666
C11890,290.260966
C11891,272.250401
C11892,272.250401
C11893,272.250401
C11894,272.250401
C11895,288.245316
C11993,296.198759
C12022,275.032375
C12025,234.121572
C12027,215.115758
C12058,223.120843
C12059,287.951163
C12067,207.110673
C12079,272.089603
C12085,230.057909
C12087,272.068473
C12090,244.073559
C12093,241.073893
C12100,268.24023
C12103,282.25588
C12105,211.960185
C12106,287.040618
C12117,268.084792
C12118,282.100442
C12119,268.048407
C12120,266.069142
C12122,274.084124
C12123,254.057909
C12124,274.084124
C12125,268.073559
C12128,274.084124
C12134,286.047738
C12142,204.187801
C12143,210.079313
C12162,271.120843
C12164,287.115758
C12167,285.136493
C12170,289.131408
C12173,273.136493
C12180,273.136493
C12181,257.105193
C12182,223.063329
C12185,287.115758
C12186,287.115758
C12187,289.131408
C12188,266.118104
C12189,266.081718
C12193,271.120843
C12194,287.115758
C12195,287.152144
C12199,255.089543
C12213,259.045703
C12214,259.045703
C12231,209.105193
C12232,273.136493
C12233,289.167794
C12234,275.152144
C12235,267.125929
C12236,281.105193
C12243,257.141579
C12248,202.033819
C12250,265.073893
C12251,249.949072
C12253,259.120843
C12256,293.089937
C12261,286.160036
C12263,220.109944
C12264,222.052823
C12284,204.980958
C12288,202.135765
C12330,299.115758
C12331,296.092283
C12434,286.084124
C12435,288.099774
C12454,239.142248
C12456,248.104859
C12457,236.104859
C12458,206.094294
C12466,207.053158
C12469,226.998535
C12491,255.980633
C12505,246.010724
C12525,292.24023
C12537,212.08373
C12540,280.063011
C12590,206.105528
C12599,247.04269
C12616,280.063011
C12624,212.032088
C12631,288.063388
C12649,210.037567
C12673,200.05972
C12739,246.0652
C12798,263.08437
C12819,213.100108
C12829,222.00039
C12831,211.919862
C12832,213.935513
C12833,243.909692
C12834,207.933014
C12835,225.943579
C12839,202.071858
C12842,253.106256
C12865,213.078979
C12905,291.183444
C12935,209.960616
C12958,220.121178
C12986,203.079373
C12987,283.045703
C13037,284.214016
C13038,281.066363
C13048,259.060959
C13061,295.062677
C13085,216.024597
C13101,270.16198
C13112,261.051634
C13127,264.985074
C13138,223.120843
C13144,264.066555
C13249,293.993966
C13252,257.11757
C13280,211.059306
C13355,219.089543
C13377,271.908331
C13453,250.156895
C13454,266.151809
C13455,248.141245
C13456,250.156895
C13534,257.081871
C13546,286.062139
C13556,233.900731
C13624,228.11503
C13625,268.14633
C13626,244.109944
C13628,242.094294
C13629,244.109944
C13630,241.073893
C13631,244.109944
C13632,226.09938
C13633,258.089209
C13634,260.104859
C13639,215.107692
C13646,211.062473
C13664,219.149738
C13666,284.152478
C13668,232.023255
C13671,217.049884
C13673,214.058971
C13675,241.121512
C13681,235.090391
C13682,275.152144
C13683,283.193614
C13687,214.09938
C13689,219.97094
C13690,233.035793
C13691,233.035793
C13697,213.078979
C13698,282.061612
C13699,222.06808
C13700,214.039672
C13701,200.024022
C13708,222.111676
C13715,282.16198
C13721,291.119525
C13729,263.17461
C13731,261.074956
C13733,228.111007
C13735,223.060959
C13737,221.120449
C13749,287.072847
C13753,257.079186
C13757,299.134202
C13767,274.084124
C13769,261.172879
C13785,294.081143
C13787,296.27153
C13790,244.203845
C13791,298.250795
C13792,284.235145
C13793,205.994242
C13795,229.204179
C13796,287.126991
C13798,294.219495
C13805,268.121178
C13811,232.142307
C13815,298.347375
C13816,292.203845
C13832,259.23
C13838,296.27153
C13844,230.001368
C13846,283.287515
C13854,274.214409
C13915,273.266779
C13946,284.235145
C13947,286.250795
C13948,274.230808
C14001,255.017738
C14043,290.188195
C14079,290.079038
C14081,242.028061
C14085,206.057909
C14086,206.057909
C14092,206.057909
C14093,204.042259
C14094,236.032088
C14095,236.032088
C14106,222.052823
C14107,222.052823
C14115,258.089209
C14131,242.094294
C14132,206.167065
C14134,256.125201
C14135,254.178299
C14137,238.062994
C14163,214.062994
C14167,247.157229
C14168,207.125929
C14169,235.157229
C14172,261.172879
C14173,261.172879
C14175,222.089209
C14177,270.072921
C14181,213.987069
C14182,235.992548
C14186,225.15896
C14189,271.956248
C14191,220.029107
C14192,237.99522
C14193,237.99522
C14195,204.034193
C14199,289.922361
C14204,292.067091
C14205,206.167065
C14207,259.016684
C14209,288.172545
C14210,290.22458
C14213,290.094294
C14214,278.151809
C14215,214.062994
C14216,250.029979
C14220,214.062994
C14221,240.078644
C14222,228.0939
C14225,242.13068
C14228,263.00173
C14229,217.006119
C14231,224.08373
C14232,224.08373
C14233,212.08373
C14234,240.11503
C14236,208.14633
C14237,294.021435
C14238,280.005785
C14239,256.182715
C14241,240.078644
C14244,200.08373
C14245,262.229666
C14246,222.000306
C14247,289.922361
C14248,222.000306
C14249,298.19328
C14251,286.120918
C14253,258.183109
C14254,276.245316
C14257,284.17763
C14258,212.120115
C14260,258.183109
C14261,270.16198
C14262,209.105193
C14263,237.078979
C14264,253.073893
C14265,282.064057
C14266,211.040006
C14267,240.042259
C14268,235.990804
C14274,236.141245
C14277,224.120115
C14278,272.156501
C14283,244.073559
C14284,214.062994
C14285,228.078644
C14290,240.078644
C14291,221.105193
C14292,268.005785
C14294,286.120509
C14298,200.08373
C14299,240.089022
C14302,240.074622
C14303,266.13068
C14304,288.049469
C14310,239.92601
C14312,229.109423
C14313,270.052823
C14314,270.052823
C14317,228.0939
C14318,276.0939
C14320,252.0939
C14321,252.0939
C14323,217.150035
C14325,278.10955
C14326,228.999621
C14332,214.088832
C14333,255.021769
C14334,209.105193
C14335,202.07825
C14336,233.844653
C14338,292.837167
C14339,256.14633
C14341,214.09938
C14344,254.057909
C14349,214.09938
C14352,221.968027
C14354,222.000306
C14355,222.000306
C14356,222.000306
C14357,255.961333
C14358,255.961333
C14359,255.961333
C14360,289.922361
C14361,289.922361
C14362,289.922361
C14363,289.922361
C14364,289.922361
C14370,237.99522
C14371,237.99522
C14383,286.156895
C14384,216.0939
C14391,296.17763
C14392,268.14633
C14393,228.078644
C14397,201.978134
C14404,248.0007
C14405,219.104799
C14406,247.063329
C14410,290.154976
C14420,278.020022
C14421,247.063329
C14423,292.048407
C14424,292.048407
C14425,207.125929
C14428,257.064113
C14430,219.945901
C14433,223.084458
C14435,252.0939
C14438,298.934132
C14439,266.164696
C14441,284.141245
C14442,277.01738
C14443,212.131349
C14444,223.063329
C14445,283.953879
C14457,213.104816
C14458,272.068473
C14459,268.088815
C14461,268.088815
C14467,208.125201
C14468,250.120509
C14469,250.120509
C14470,268.125201
C14474,266.094294
C14481,239.094629
C14483,286.19328
C14485,270.16198
C14491,288.20893
C14496,286.156895
C14498,268.14633
C14499,240.245316
C14500,272.17763
C14501,260.131349
C14502,286.19328
C14506,213.055656
C14507,214.062994
C14509,200.214016
C14514,233.992154
C14519,218.073165
C14521,249.86289
C14523,230.151809
C14525,298.077598
C14526,265.150035
C14532,267.946077
C14536,284.068473
C14537,296.125988
C14541,250.135765
C14542,250.135765
C14543,250.135765
C14544,250.135765
C14545,266.13068
C14546,266.13068
C14547,266.13068
C14548,266.13068
C14549,276.097042
C14550,220.182715
C14551,282.16198
C14556,268.088815
C14557,268.088815
C14558,268.088815
C14559,268.088815
C14560,268.088815
C14562,208.125201
C14563,268.088815
C14564,268.088815
C14565,268.088815
C14566,202.120509
C14567,206.094294
C14569,218.022392
C14571,263.134385
C14576,268.088815
C14584,267.988026
C14585,242.049843
C14589,272.079707
C14590,270.16198
C14597,265.110279
C14599,281.120449
C14611,236.015956
C14613,216.078644
C14614,222.093917
C14617,212.106196
C14620,253.073893
C14622,255.089543
C14631,290.22458
C14633,239.094629
C14644,229.951332
C14650,268.14633
C14655,284.214016
C14656,239.094629
C14657,282.104465
C14660,274.156895
C14662,225.078979
C14666,212.120115
C14672,218.049843
C14678,239.094629
C14679,210.104465
C14682,288.20893
C14692,205.813353
C14693,220.182715
C14694,219.104799
C14707,249.762838
C14716,250.156895
C14718,236.141245
C14719,272.141245
C14720,296.104859
C14734,237.99522
C14736,237.99522
C14737,271.956248
C14738,268.14633
C14740,284.141245
C14747,200.08373
C14755,204.034193
C14759,200.094963
C14761,206.10955
C14762,296.235145
C14765,294.219495
C14766,294.219495
C14767,296.235145
C14799,264.04563
C14801,207.053158
C14825,296.235145
C14826,296.235145
C14849,268.088815
C14850,268.088815
C14851,268.088815
C14852,286.09938
C14854,284.08373
C14876,207.056529
C14884,289.167794
C14888,272.141245
C14896,269.141579
C14897,252.11503
C14898,242.13068
C14899,274.008983
C14900,255.125929
C14901,255.125929
C14902,241.110279
C14903,237.078979
C14904,236.094963
C14905,266.02652
C14906,288.245316
C14908,289.167794
C14911,292.203845
C14916,204.089878
C14920,253.073893
C14921,267.125929
C14927,289.040879
C14932,290.22458
C14936,269.060742
C14938,246.092376
C14952,211.063329
C14958,289.240565
C14965,289.040879
C14972,254.167065
C14975,292.24023
C14987,286.214409
C14996,284.235145
C15005,287.188529
C15006,287.188529
C15016,284.214016
C15020,270.198365
C15032,249.136493
C15039,250.110613
C15040,293.116427
C15043,225.115364
C15044,269.141579
C15045,243.081477
C15048,281.068808
C15049,294.125594
C15052,282.089209
C15063,296.17763
C15069,242.13068
C15077,272.050715
C15081,289.167794
C15082,254.167065
C15083,248.015956
C15084,282.115698
C15085,270.198365
C15087,297.136493
C15089,273.100108
C15093,292.220244
C15094,295.132077
C15101,288.245316
C15107,268.182715
C15110,268.073559
C15111,252.078644
C15114,298.19328
C15117,298.229666
C15120,255.089543
C15121,236.094963
C15122,269.105193
C15123,250.031606
C15124,296.17763
C15125,203.1674
C15129,272.17763
C15131,240.11503
C15134,230.13068
C15142,298.19328
C15153,272.141245
C15168,268.14633
C15170,284.214016
C15189,256.029107
C15191,280.109944
C15193,294.136828
C15194,284.17763
C15196,228.078644
C15201,278.22458
C15202,204.034193
C15203,268.073559
C15204,240.078644
C15205,278.151809
C15206,256.14633
C15210,228.11503
C15211,284.17763
C15212,271.956248
C15214,287.860066
C15215,270.16198
C15217,268.182715
C15218,274.047738
C15219,298.19328
C15222,270.052823
C15226,239.943265
C15227,293.77284
C15230,288.094902
C15232,273.870528
C15235,225.810376
C15236,285.935513
C15237,218.013457
C15238,285.935513
C15239,251.974485
C15240,251.974485
C15241,218.013457
C15242,234.008372
C15243,251.974485
C15245,251.974485
C15246,251.974485
