,molecular_weight
C19171,58.9332
C19176,60.068748
C19185,46.021878
C19201,86.036779
C19206,90.023628
C19208,88.007978
C19227,88.100048
C19233,60.068748
C19237,72.057515
C19246,72.021129
C19249,96.057515
C19257,57.057849
C19261,82.053098
C19262,82.053098
C19275,61.016378
C19281,88.063663
C19282,86.048013
C19297,72.021129
C19299,99.993613
C19302,75.01427
C19309,86.036779
C19316,76.007978
C19317,99.01427
C19332,87.068414
C19359,50.987577
C19360,74.987577
C19361,85.973484
C19362,67.982906
C19363,90.023628
C19368,51.940512
C19377,70.041865
C19387,42.021798
C19419,60.003371
C19440,72.021129
C19443,86.036779
C19445,75.032028
C19446,49.992328
C19523,89.948452
C19547,64.012456
C19568,60.032363
C19572,59.966756
C19609,57.935348
C19610,54.93805
C19611,54.93805
C19697,51.971592
C19779,88.063663
C19907,67.042199
C19935,42.009222
C20253,87.032028
C20292,74.096974
C20294,51.940512
C20295,51.940512
C20296,74.921596
C20298,74.921596
C20301,90.042927
C20302,43.029623
C20303,77.987242
C20306,60.032363
C20315,87.068414
C20335,90.06808
C20339,87.068414
C20363,88.016044
C20382,84.032363
C20396,95.997631
C20441,98.036779
C20578,98.036779
C20592,98.000394
C20657,90.06808
C20701,70.041865
C20783,44.0626
C20808,83.073499
C20809,85.089149
C20891,85.016378
C20904,87.032028
C20937,31.005814
C21290,90.06808
C21291,88.05243
C21369,89.084064
C21373,84.057515
C21389,74.073165
C21390,58.07825
C21398,79.9932
C21401,88.088815
C21402,86.073165
C21404,87.068414
C21525,83.073499
C21641,32.997654
C21744,86.927879
C22279,90.013936
C00013,177.943226
C00025,147.053158
C00026,146.021523
C00031,180.063388
C00036,132.005873
C00042,118.026609
C00047,146.105528
C00049,133.037508
C00062,174.111676
C00064,146.069142
C00065,105.042593
C00072,176.032088
C00073,149.051049
C00074,167.982374
C00077,132.089878
C00079,165.078979
C00082,181.073893
C00090,110.036779
C00093,172.013675
C00095,180.063388
C00097,121.019749
C00106,112.027277
C00108,137.047678
C00109,102.031694
C00111,169.998024
C00114,104.107539
C00118,169.998024
C00121,150.052823
C00122,116.010959
C00123,131.094629
C00124,180.063388
C00135,155.069477
C00137,180.063388
C00141,116.047344
C00147,135.054495
C00148,115.063329
C00149,134.021523
C00152,132.053492
C00153,122.048013
C00155,135.035399
C00156,138.031694
C00158,192.027003
C00159,180.063388
C00164,102.031694
C00166,164.047344
C00168,104.010959
C00169,140.982709
C00178,126.042927
C00179,130.121846
C00180,122.036779
C00181,150.052823
C00183,117.078979
C00188,119.058243
C00191,194.042653
C00193,106.041865
C00196,154.026609
C00197,185.992939
C00198,178.047738
C00202,184.066459
C00204,178.047738
C00216,150.052823
C00217,147.053158
C00221,180.063388
C00227,139.98746
C00230,154.026609
C00232,102.031694
C00233,130.062994
C00242,151.04941
C00245,125.014664
C00247,180.063388
C00250,167.058243
C00253,123.032028
