,molecular_formula,mass
C00178,C5H6N2O2,126.042927
C00179,C5H14N4,130.121846
C00180,C7H6O2,122.03677900000001
C00181,C5H10O5,150.052823
C00182,C24H42O21,666.221858
C00183,C5H11NO2,117.078979
C00184,C3H6O3,90.03169399999999
C00185,C12H22O11,342.116212
C00186,C3H6O3,90.03169399999999
C00187,C27H46O,386.354866
C00188,C4H9NO3,119.05824299999999
C00189,C2H7NO,61.052764
C00190,C14H22N2O16P2,536.044456
C00191,C6H10O7,194.042653
C00192,NH3O,33.021464
C00193,C7H6O,106.04186499999999
C00194,C72H100CoN18O17P,1578.6583460000002
C00195,C19H36NO3R,326.49485400000003
C00196,C7H6O4,154.026609
C00197,C3H7O7P,185.99293899999998
C00198,C6H10O6,178.04773799999998
C00199,C5H11O8P,230.01915400000001
C00200,C13H11N2.,306.067428
C00201,C5H12O13P3R,373.062542994
C00202,C6H14FO3P,184.066459
C00203,C17H27N3O17P2,607.0815690000001
C00204,C6H10O6,178.04773799999998
C00205,,
C00206,C10H15N5O9P2,411.0345
C00207,C3H6O,58.041865
C00208,C12H22O11,342.116212
C00209,C2H2O4,89.99530899999999
C00210,C53H79CoN11O14P(R1)(R2),
C00211,C4H6N2O3R2(C7H9N2O2R)n,747.243837
C00212,C10H13N5O4,267.096754
C00213,C3H7NO2,89.047678
C00214,C10H14N2O5,242.09027200000003
C00215,,
C00216,C5H10O5,150.052823
C00217,C5H9NO4,147.053158
C00218,CH5N,31.042199
C00219,C20H32O2,304.24023
C00220,C16H18N3S.,319.090996
C00221,C6H12O6,180.06338799999997
C00222,C3H4O3,88.016044
C00223,C30H42N7O18P3S,913.1519880000001
C00224,C10H14N5O10PS,427.019899
C00225,C12H14N2.,256.053404
C00226,CH3OR,31.033968
C00227,C2H5O5P,139.98746
C00229,HSR,33.072741
C00230,C7H6O4,154.026609
C00231,C5H11O8P,230.01915400000001
C00232,C4H6O3,102.03169399999999
C00233,C6H10O3,130.062994
C00234,C20H23N7O7,473.165896
C00235,C5H12O7P2,246.00582599999998
C00236,C3H8O10P2,265.959269
C00237,CO,27.994915000000002
C00238,K,38.963707
C00239,C9H14N3O7P,307.056936
C00240,C15H25O16P2R3,1173.746630954
C00241,CH2NOR,44.032729999999994
C00242,C5H5N5O,151.04941000000002
C00243,C12H22O11,342.116212
C00244,HNO3,62.99564300000001
C00245,C2H7NO3S,125.014664
C00246,C4H8O2,88.05243
C00247,C6H12O6,180.06338799999997
C00248,C8H15NOS2,205.059505
C00249,C16H32O2,256.24023
C00250,C8H9NO3,167.058243
C00251,C10H10O6,226.04773799999998
C00252,C12H22O11,342.116212
C00253,C6H5NO2,123.032028
C00254,C10H10O6,226.04773799999998
C00255,C17H20N4O6,376.138284
C00256,C3H6O3,90.03169399999999
C00257,C6H12O7,196.058303
C00258,C3H6O4,106.02660900000001
C00259,C5H10O5,150.052823
C00261,C7H6O,106.04186499999999
C00262,C5H4N4O,136.038511
C00263,C4H9NO3,119.05824299999999
C00264,C24H37N7O18P3SR,836.573873994
C00265,C4H10O2S2,154.01222099999998
C00266,C2H4O2,60.021129
C00267,C6H12O6,180.06338799999997
C00268,C9H13N5O3,239.101839
C00269,C14H19N3O15P2R2,1150.7351869560002
C00270,C11H19NO9,309.105981
C00272,C9H15N5O3,241.117489
C00273,C6H10O6,178.04773799999998
C00275,C6H13O9P,260.029719
C00279,C4H9O7P,200.008589
C00280,C19H26O2,286.19327999999996
C00282,H2,2.01565
C00283,H2S,33.987721
C00284,C10H16N2O8,292.090666
C00286,C10H16N5O13P3,506.995745
C00288,HCO3,60.992568999999996
C00290,,
C00291,Ni,57.935348
C00292,C6H7N,93.057849
C00294,C10H12N4O5,268.08077000000003
C00295,C5H4N2O4,156.017107
C00296,C7H12O6,192.06338799999997
C00297,SR2,64.1296
C00298,,
C00299,C9H12N2O6,244.069536
C00300,C4H9N3O2,131.069477
C00301,C15H23N5O14P2,559.071673
C00302,C5H9NO4,147.053158
C00303,C5H10N2O3,146.069142
C00304,C18H33N3O10(R1)(R2),
C00305,Mg,23.985042
C00306,C50H73N15O11,1059.561398
C00307,C14H26N4O11P2,488.10733099999993
C00308,C5H12N4O3,176.09094
C00309,C5H10O5,150.052823
C00310,C5H10O5,150.052823
C00311,C6H8O7,192.027003
C00312,C5H10O5,150.052823
C00313,C23H36N7O19P3S,839.0999519999999
C00314,C8H11NO3,169.073893
C00315,C7H19N3,145.157898
C00317,,
C00318,C7H15NO3,161.10519299999999
C00319,C18H37NO2,299.282429
C00320,HS2O3,112.93671
C00322,C6H8O5,160.037173
C00323,C30H42N7O19P3S,929.146902
C00324,C6FeN6,211.953386
C00325,C16H25N5O15P2,589.082238
C00326,,
C00327,C6H13N3O3,175.095691
C00328,C10H12N2O3,208.084792
C00329,C6H13NO5,179.079373
C00330,C10H13N5O4,267.096754
C00331,C11H9NO3,203.058243
C00332,C25H40N7O18P3S,851.1363380000001
C00333,C6H10O7,194.042653
C00334,C4H9NO2,103.06332900000001
C00337,C5H6N2O4,158.032757
C00338,,
C00339,CH3OR,31.033968
C00340,,
C00341,C10H20O7P2,314.068426
C00342,C10H14N4O4S2R4,1023.7982059999999
C00343,C10H12N4O4S2R4,1021.7823239999999
C00344,C8H13O10PR2,331.13072699599996
C00345,C6H13O10P,276.024633
C00346,C2H8NO4P,141.019094
C00347,C3H5O2R,73.070735
C00348,C55H91O4P,846.6654980000001
C00349,C4H6O3,102.03169399999999
C00350,C7H12NO8PR2,300.119938996
C00351,C10H19O14P3R2(C5H8O5PR)n,1533.498347934
C00352,C6H14NO8P,259.045703
C00353,C20H36O7P2,450.19362699999994
C00354,C6H14O12P2,339.996049
C00355,C9H11NO4,197.06880800000002
C00356,C27H44N7O20P3S,911.157467
C00357,C8H16NO9P,301.056268
C00360,C10H14N5O6P,331.06817
C00361,C10H15N5O10P2,427.02941500000003
C00362,C10H14N5O7P,347.063084
C00363,C10H16N2O11P2,402.02293199999997
C00364,C10H15N2O8P,322.056602
C00365,C9H13N2O8P,308.040952
C00366,C5H4N4O3,168.02834
C00367,,
C00369,(C12H20O10)n,324.28175
C00370,C17H28O,248.21401600000002
C00371,C10H13N5O,219.11201
C00372,(C12H20O10)n,324.28175
C00373,,
C00374,(C26H40N2O36S5)n,1116.912866
C00375,CH4NR,30.049207000000003
C00376,C20H28O,284.214016
C00377,,
C00378,C12H17N4OS,265.112307
C00379,C5H12O5,152.068473
C00380,C4H5N3O,111.04326200000001
C00381,C20H36O(C5H8)n,360.61730900000003
C00383,C3H4O4,104.010959
C00384,C12H25N4O5R,305.35124199999996
C00385,C5H4N4O2,152.033425
C00386,C9H14N4O3,226.10658999999998
C00387,C10H13N5O5,283.09166899999997
C00388,C5H9N3,111.079647
C00389,C15H10O7,302.042653
C00390,C14H20O4(C5H8)n,320.42402799999996
C00391,,
C00392,C6H14O6,182.079038
C00393,,
C00394,C16H25N5O16P2,605.0771530000001
C00395,C9H11N2O4SR,243.259837
C00396,C4H4N2,80.037448
C00397,C18H37N5O9,467.25912800000003
C00398,C10H12N2,160.100048
C00399,C14H18O4(C5H8)n,318.408146
C00400,C10H20O,156.151415
C00401,(C14H21NO11)n,379.317279
C00402,C4H7NO4,133.037508
C00403,C4H6N2O3R2(C2H2NOR)n,650.1284420000001
C00404,H4P2O7(HPO3)n,257.955040994
C00405,C2H4NO2R,74.058757
C00406,C31H44N7O19P3S,943.162552
C00407,C6H13NO2,131.094629
C00408,C6H11NO2,129.078979
C00409,CH4S,48.003371
C00410,C21H30O2,314.22458
C00411,C32H46N7O20P3S,973.173117
C00412,C39H70N7O17P3S,1033.376174
C00413,C21H39N7O12,581.26567
C00414,C6H10O,98.073165
C00415,C19H21N7O6,443.15533099999993
C00416,C5H7O8PR2,257.052050996
C00417,C6H6O6,174.016438
C00418,C6H12O4,148.07355900000002
C00419,C10H17O10PR2(C5H8O6PR)n,554.2713909940001
C00420,C12H22O11(C6H10O5)n,504.437912
C00422,C6H5O6R3,1085.06666
C00423,C9H8O2,148.05243000000002
C00424,C3H6O2,74.03677900000001
C00426,(C14H18NO11R3)n,2008.232766
C00427,C20H32O5,352.22497400000003
C00429,C4H6N2O2,114.042927
C00430,C5H9NO3,131.058243
C00431,C5H11NO2,117.078979
C00433,C5H6O4,130.026609
