,molecular_formula,mass
C02010,C17H26N8O5,422.20261600000003
C02012,C8H9NO2R2,471.15100199999995
C02013,C24H42O21,666.221858
C02015,C42H70N14O32P6S2,1532.214767
C02017,,
C02018,C5H3N3,105.032697
C02020,C5H10O,86.073165
C02021,,
C02022,C4H8O4,120.042259
C02023,C6H11O6R,179.148221
C02024,C6H10O7,194.042653
C02026,C4H7N3,97.063997
C02027,C26H32O8,472.20971799999995
C02028,C2H2O4(CH2)n,104.061604
C02029,C10H15N5O,221.12766000000002
C02030,C36H58N7O17P3S,985.282274
C02031,C20H31N5O23P4R(R1)(C5H8O6PR)n,
C02033,C20H41N5O7,463.30059900000003
C02034,C20H26O6,362.172939
C02035,C19H24O5,332.162374
C02037,C4H8N2O3,132.053492
C02038,C2H5NO2(C2H2NOR)n,131.11016800000002
C02040,C8H7NO,133.052764
C02041,C41H74N7O17P3S,1061.407474
C02043,C11H11NO3,205.073893
C02045,C4H8O4,120.042259
C02046,C17H23NO3,289.167794
C02047,C21H32N6O11PR(C5H8O6PR)n,770.574506996
C02048,C12H22O11,342.116212
C02049,,
C02050,C39H66N7O17P3S,1029.3448740000001
C02051,C8H14NOS2R,204.33280200000002
C02052,C24H42O21,666.221858
C02055,C3H4NO3R,102.06890200000001
C02056,C14H21N2O12PR4(C5H8O6PR)n,728.3058549900001
C02057,C9H11NO2,165.078979
C02058,H2PO3NHR,96.002502998
C02059,C31H46O2,450.34978099999995
C02060,C41H74N7O17P3S,1061.407474
C02061,C8H8O2(C5H8)n,204.265486
C02064,C20H38O2,310.28718
C02065,C4H6N2O2R2,434.0909219999999
C02066,C8H15NO,141.115364
C02067,C9H12N2O6,244.069536
C02069,,
C02072,C18H25N6O12P(C9H12N3O7P)n,853.580342996
C02073,C10H16O12P2R2(C5H8O6PR)n,1204.737499954
C02074,C27H32N2O8,512.215866
C02075,C21H29O2R,313.454639
C02076,C7H14O7,210.073953
C02077,CH5N3O,75.043262
C02078,C14H24N2O7,332.158351
C02079,C28H26N4O3,466.200491
C02080,C9H4O6,208.000788
C02081,C25H22N4O8,506.143764
C02083,C8H8O,120.057515
C02084,H2S4O6,225.873421
C02085,C6H11O5SR,195.213616
C02086,C2H4O2S,91.9932
C02087,C13H21ClN4O2S,332.10737400000005
C02088,C17H18ClNO3S,351.069592
C02089,C9H14NO2R,168.213347
C02090,C27H49N9O10S2,723.30438
C02091,C3H7N3O3,133.04874099999998
C02094,C40H56,536.4382019999999
C02095,C6H12O5,164.068473
C02096,C5H10O5,150.052823
C02097,C16H26N2O16P2,564.075756
C02099,C15H12O2,224.08372999999997
C02100,C10H19O16P3R(R1)(C5H8O6PR)n,
C02101,C6H12O6(C24H40O20)n,828.719662
C02103,C2H2O2XR,
C02104,C6H12O4,148.07355900000002
C02105,C19H23NO4,329.162708
C02106,C19H21NO4,327.147058
C02107,C4H6O6,150.016438
C02108,C10H16O2,168.11503000000002
C02110,C20H28O,284.214016
C02111,C4H2O4(R1)(R2),
C02112,C4H7O4R,119.09616700000001
C02115,C4H9NO3,119.05824299999999
C02116,C3H7NO2,89.047678
C02117,C20H38O3,326.282095
C02118,C5H3O4R3,751.0519380000001
C02119,C4H3O4R,115.064403
C02122,C6H10O3,130.062994
C02123,C7H12O5,176.068473
C02124,C6H5ClO,128.002892
C02125,C7H5N2O3R,165.126506
C02126,C6H6N2O2,138.042927
C02128,C10H18O11P2R2(C5H8O5PR)n,1174.7545719539999
C02129,C6H10O3,130.062994
C02130,C14H24O12,384.12677599999995
C02131,C7H16N4O,172.13241100000002
C02132,C5H6O4,130.026609
C02133,CH2O5PR,124.997408998
C02134,C21H23NO5,369.157623
C02135,C50H71N13O12,1045.534515
C02137,C8H6O3,150.031694
C02138,C15H19N3O7,353.1223
C02139,C35H34MgN4O5,614.237962
C02140,C21H30O4,346.214409
C02141,C30H50O,426.386166
C02142,C5H9O4R,133.12278899999998
C02143,C5H9O5R,149.12219399999998
C02144,C5H6N2O3R2,606.095712
C02146,COR2,44.00955
C02147,C8H16O2S2,208.059171
C02150,C4H4O4,116.01095900000001
C02151,C21H24N2O3,352.178693
C02153,C14H19NO9S2,409.050123
C02154,C3H6O3,90.03169399999999
C02155,C8H16N2O3,188.11609199999998
C02159,C19H32O2,292.24023
C02160,C18H32O16,504.16903499999995
C02161,C12H8N2O2,212.05857799999998
C02162,C13H10O5,246.052823
C02163,C21H33N9O11PR(C5H8O6PR)n,813.6025569960001
C02165,C20H32O4,336.23006000000004
C02166,C30H47N3O9S,625.303301
C02167,C7H6O6,186.016438
C02168,C15H15NO2,241.110279
C02170,C4H6O4,118.02660900000001
C02171,C5H10O7PR,213.10270699799997
C02172,C10H7NO3,189.04259299999998
C02173,C10H16NO8R,278.236399
C02174,H4P2O7(HPO3)n,257.955040994
C02179,C2H5N2OR(C2H2NOR)n,129.117466
C02180,C6H6O4S,173.998679
C02181,C8H8O3,152.04734399999998
C02183,C6H6O3,126.03169399999999
C02185,C13H18O2,206.13068
C02186,C7H11N2O3R,171.174152
C02188,C7H13N3O2R2,491.18543199999993
C02189,C4H6N2O3R2,594.084972
C02191,C34H34N4O4,562.2580059999999
C02193,C3H5NO3,103.026943
C02195,C17H28O4S,328.17082999999997
C02196,NR3,42.020109
C02197,C19H24O3,300.172545
C02198,C20H32O5,352.22497400000003
C02199,C15H24N2O16P2,550.0601059999999
C02200,C15H25N3O16P2,565.071005
C02201,C9H10O3,166.062994
C02202,C25H28N4O,400.226312
C02203,C23H29N3O6,443.205636
C02204,C5H10O5,150.052823
C02205,C5H10O5,150.052823
C02206,C15H18O3,246.125594
C02207,C6H11NO4,161.06880800000002
C02209,C6H12O6,180.06338799999997
C02210,,
C02211,C10H17O10PR2(C5H8O6PR)n,554.2713909940001
C02213,C10H16O,152.120115
C02214,C5H6O4,130.026609
C02216,C6H7N5,149.070145
C02217,C10H18O3,186.125594
C02218,C3H5NO2,87.032028
C02220,C6H7NO4,157.037508
C02221,C6H4N2,104.037448
C02222,C6H6O5,158.021523
C02223,C5H10O,86.073165
C02224,C6H16NO,118.123189
C02225,C7H10O7,206.042653
C02226,C5H6O4,130.026609
C02227,C10H9N,143.073499
C02230,C6H7N5O,165.06506000000002
C02231,C3H3NO4,117.006208
C02232,C27H42N7O20P3S,909.141817
C02233,C5H8O3,116.047344
C02234,C6H4N2,104.037448
C02235,C6H5NO4,155.021858
C02236,C7H6O5S,201.993594
C02237,C5H7NO3,129.04259299999998
C02240,C5H8O2,100.05243
C02241,C6H7N5,149.070145
C02242,C6H7N5O,165.06506000000002
C02243,C11H14N4O5,282.09642
C02244,,
C02245,HSOR,49.072146000000004
C02246,,
C02247,C28H41N8O17P3S,886.152322
C02248,(C4H6N2O2SR2)2,356.46484399999997
C02249,C41H66N7O17P3S,1053.3448740000001
C02252,NH2OR,32.02199
C02253,C12H18N4O,234.14806099999998
C02255,C13H20N3O14P2R,504.25774299599993
C02256,C8H15NO4,189.100108
C02257,,
C02261,C4H9NO2,103.06332900000001
C02262,C6H13NO5,179.079373
C02264,C6H13NO6,195.074287
C02265,C9H11NO2,165.078979
C02266,C5H8O5,148.037173
C02267,C11H16N4O4,268.11715499999997
C02269,C5H9O3R,117.123384
C02270,C5H11O7P(C5H8O5PR)n(C5H8O5PR)n,572.286677994
C02271,CH2Cl2,83.953355
C02272,C4H10S,90.050321
C02273,C12H18O13,370.074741
C02274,C9H8O2,148.05243000000002
C02277,C12H26O,186.198365
C02278,C12H24O,184.182715
C02280,C16H25N5O16P2,605.0771530000001
C02282,C20H29N7O12PR(C5H8O6PR)n,785.546051996
C02283,C30H46O4,470.33960999999994
C02284,C42H62O16,822.4037860000001
C02287,C3H4O5,120.005873
C02288,,
C02289,C10H14O,150.104465
C02290,C7H17N2O2,161.129003
C02291,C7H14N2O4S,222.06742799999998
C02293,C15H24O2,236.17763
C02294,C2H7N3,73.063997
C02295,C6H8O4,144.042259
C02297,C2H6N2O(CH2)n,88.108559
C02298,C10H9NO2,175.063329
C02299,C7H9N,107.073499
C02301,C8H14NO4R,188.201417
C02303,C4H7N2O3R(C2H2NOR)n,187.153638
C02304,C6H8N2,108.068748
C02305,C4H10N3O5P,211.03580699999998
C02306,H2PO3NH2,96.99288
C02307,,
C02308,,
C02311,H4N2(CH2)n,46.071792
C02314,C20H34O5,354.240624
C02315,C7H11N3O3S2R2,890.606455
C02318,C2H2S2R4,795.592562
C02319,C3H5O3R,89.07014000000001
C02320,C10H16N3O6SR,306.315795
C02321,(C5H8)n,68.117228
C02323,C7H8O2,124.05243
C02324,NHR2,16.022585
C02325,C11H14O4,210.08920899999998
C02327,C6H11O5SR,195.213616
C02328,C15H14NO3.,279.087138
C02330,C15H22N2O18P2,580.034285
C02331,C25H40N7O17P3S,835.141423
C02332,C21H29O2R,313.454639
C02333,C9H10N4O4,238.070205
C02334,C30H39N9O6,621.30233
C02335,C24H41N8O17P3S,838.152322
C02336,C6H12O6,180.06338799999997
C02337,C5H9O5R,149.12219399999998
C02338,C6H12O5,164.068473
C02339,C21H34N5O23P4R(R1)(C5H8O6PR)n,
C02341,C6H6O6,174.016438
C02342,,
C02343,C9H13NO,151.09971399999998
C02344,C10H18O,154.135765
C02345,C15H14O2,226.09937999999997
C02347,C6H12O6(C36H61O33P)n,1232.9813299979999
C02348,C4H6N4O3,158.04398999999998
C02350,C4H6N4O3,158.04398999999998
C02351,C6H4O2,108.021129
C02352,(C5H8O4)n,132.114848
C02353,C10H12N5O6P,329.05252
C02354,C9H12N3O7P,305.041286
C02355,C9H11N2O8P,306.025302
C02356,C4H9NO2,103.06332900000001
C02357,C7H5ClO2,155.997807
C02359,C7H5FO2,140.02735800000002
C02360,C6H10O5,162.052823
C02362,C4H5NO4,131.021858
C02363,C9H10O3,166.062994
C02364,C7H5FO2,140.02735800000002
C02366,C9H9NO,147.068414
C02367,C12H22O3,214.15689500000002
C02370,C7H5ClO2,155.997807
C02371,C7H5FO2,140.02735800000002
C02372,C6H7NO,109.052764
C02373,C6H12O,100.088815
C02374,C10H17O8PR2(C5H8O5PR)n,506.273175994
C02375,C6H5ClO2,143.997807
C02376,C5H7N3O,125.058912
C02377,C15H22NO12PR2(C5H8O6PR)n,665.370308994
C02378,C6H13NO2,131.094629
C02379,C10H10O4,194.057909
C02380,C5H4N4S,152.01566699999998
C02381,C11H12O4,208.07355900000002
C02385,C6H14N4O2,174.111676
C02389,C6H5O2,109.028954
C02390,C2H6N2O2,90.042927
C02391,CO2R2,363.99764999999996
C02394,C9H10O,134.073165
C02395,C6H8O,96.05751500000001
C02399,C9H14N2O7R2,1302.1783999999998
C02400,C44H73NO17,887.48785
C02401,C6H5NR2,105.117551
C02403,CO2R,44.00955
C02404,,
C02405,CH3O5P,125.97181
C02410,C16H27O13PR2(C5H8O5PR)n,668.414050994
C02411,C26H40N7O19P3S,879.1312519999999
C02412,C12H20NO11PR2(C5H8O6PR)n,611.3228019940001
C02413,,
C02415,C7H13N3O2R2,491.18543199999993
C02419,C3H9N3O2S,151.041547
C02420,C4H7N,69.057849
C02421,C6H6N2O,122.04801299999998
C02424,C6H13N4O2R,173.193295
C02426,C3H6O3,90.03169399999999
C02427,C7H15N3O3,189.11134099999998
C02429,C8H15N2O3R(C2H2NOR)n,243.260126
C02430,C20H30N6O11PSR(C5H8O6PR)n,788.6126849960001
C02431,C6H12O5,164.068473
C02434,C2H2O2R2,378.02427199999994
C02436,CH4NR,30.049207000000003
C02440,(C12H19NO17S2)n,513.405947
C02441,C6H7NO2,125.047678
C02442,C9H13NO,151.09971399999998
C02444,C7H13N2O3R,173.19003400000003
C02445,C9H16O2,156.11503000000002
C02446,C3H5O3R,89.07014000000001
C02447,C16H22N4O11PR(C5H8O6PR)n,672.427990996
C02451,C26H42N7O17P3S,849.1570730000001
C02452,C10H16O,152.120115
C02453,C18H24O,256.182715
C02454,C6H8N2,108.068748
C02455,C8H11N,121.089149
C02456,,
C02457,C3H8O2,76.05243
C02461,C7H11N3O3S2R2,890.606455
C02462,C10H18O,154.135765
C02463,C42H48N4O16,864.3065320000001
C02465,C15H12I3NO4,650.790037
C02466,H3P3O9,239.89899100000002
C02467,C15H25N3O16P2,565.071005
C02469,C40H38N4O16,830.2282809999999
C02470,C10H7NO4,205.037508
C02471,C2H5NO2(C8H12N2O4S)n,307.323736
C02472,C6H11O5R,163.148816
C02473,C5H9O5R,149.12219399999998
C02474,(C15H24O12)n,396.34454400000004
C02475,C6H11O5R,163.148816
C02476,C6H12O5,164.068473
C02477,C29H50O2,430.38108099999994
C02478,C6H11O6R,179.148221
C02479,C5H10O5,150.052823
C02480,C6H6O4,142.026609
C02483,C28H48O2,416.365431
C02484,C10H18O,154.135765
C02485,C10H14O,150.104465
C02486,C6H13NO2,131.094629
C02487,C13H23N3O5,301.163771
C02488,C6H10O5,162.052823
C02489,C2H3O3R,75.043518
C02490,(C6H10O5)n,162.140875
C02492,(C6H10O5)n,162.140875
C02493,C12H22O11(C6H10O5)n,504.437912
C02494,C11H15N5O4,281.112404
C02495,C15H10O5,270.052823
C02496,C6H4N2O5,184.012021
C02497,C4H6O2,86.03677900000001
C02498,C8H18O,130.135765
C02499,C12H10O,170.073165
C02501,C6H6O5,158.021523
C02502,C5H5NO,95.037114
C02504,C7H12O5,176.068473
C02505,C8H9NO,135.068414
C02506,,
C02507,C10H12N5O6P,329.05252
C02508,C5H10O7PR,213.10270699799997
C02509,C13H19N5O13P2,515.0454589999999
C02512,C4H6N2O2,114.042927
C02513,C27H42O6,462.298139
C02514,C7H6O6,186.016438
C02515,C9H10INO3,306.970536
C02517,C12H15N2O4,251.10318199999998
C02518,C7H7NO3,153.04259299999998
C02519,C8H8O3,152.04734399999998
C02520,C5H10O7PR,213.10270699799997
C02521,C10H17O10PR2(C5H8O6PR)n,554.2713909940001
C02522,C6H12O5,164.068473
C02525,HOR,17.007346
C02526,C12H10O2,186.06808
C02527,C4H9O5P,168.01876000000001
C02528,C24H40O4,392.29266
C02530,C28H45O2R,413.656875
C02532,C3H8NO6P,185.008924
C02533,C13H18O3,222.125594
C02534,HPO4R2,703.956712998
C02535,C2H6Se,109.963472
C02536,C36H66O2(C5H8)n,599.026784
C02537,C18H24O2,272.17762999999997
C02538,C18H22O5S,350.11879500000003
C02539,(C15H13O3)2.,522.13553
C02543,C3H6O6S,169.98850900000002
C02545,,
C02546,C4H7N2O3R,131.11016800000002
C02548,C10H12N2,160.100048
C02549,C20H22O7,374.136553
C02553,C13H22NO12PR2(C5H8O6PR)n,641.348828994
C02554,C20H30N6O11PR(C5H8O6PR)n,756.5478849960001
C02555,C26H21N3O5S,487.12019100000003
C02557,C25H40N7O19P3S,867.1312519999999
C02560,C5H6N2O,110.04801299999998
C02562,C7H13N4O3R,201.20344
C02564,C12H13NO5,251.079373
C02565,C4H6N2O2,114.042927
C02567,C12H28N4O,244.226312
C02569,C10H20O7P2,314.068426
C02571,C9H18NO4,204.123583
C02572,C17H20O9,368.110732
C02574,C25H44N13O13P,765.291915
C02575,C6HCl5O,263.847003
C02576,C10H14O,150.104465
C02577,C29H42N7O18P3S,901.1519880000001
C02578,C12H16O6,256.09468799999996
C02579,(C6H8O7)n,192.123803
C02581,C8H18N4O,186.148061
C02582,C7H9N3O3S2R2,888.590573
C02583,C6H9N3O3R2,635.136978
C02587,C9H11N5O2,221.091275
C02588,C36H60O2,524.4593309999999
C02589,C11H16N3O7SR,334.32594
C02590,C18H24O4S,336.13953
C02591,C12H23O14P,422.082542
C02592,C26H45NO5S,483.301844
C02593,C35H62N7O17P3S,977.313574
C02595,C6H6O2S,142.00885
C02596,C9H9N,131.073499
C02601,C4H6N2O3R2,594.084972
C02603,C6H11O6R,179.148221
C02604,C5H10O5,150.052823
C02605,C6H11O5R,163.148816
C02607,(C12H17O13SR)n,401.32094199999995
C02611,C33H44N7O19P3S,967.162552
C02612,C5H8O5,148.037173
C02614,C5H8O5,148.037173
C02615,C8H7NO,133.052764
C02616,(C6H10O5)n,162.140875
C02617,C10H6O2,158.036779
C02621,C15H24N2O2,264.18377799999996
C02623,C2H3NO2R2,393.038916
C02625,C6H4Cl2O,161.96392
C02627,C6H14N2O3,162.100442
C02628,C8H18N6O3,246.144038
C02630,C5H8O5,148.037173
C02631,C7H10O4,158.057909
C02632,C4H8O2,88.05243
C02633,C27H44O7,480.308704
C02634,C3H6ClNO2,123.008706
C02635,C3H6ClNO2,123.008706
C02636,C7H14NO3,160.097368
C02637,C7H8O5,172.037173
C02638,C3H6FNO2,107.038257
C02639,C8H8O3,152.04734399999998
C02640,C5H13N,87.104799
C02642,C4H8N2O3,132.053492
C02645,C20H30O3,318.219495
C02646,C9H10O2,150.06808
C02647,C5H11N3O,129.090212
C02648,C4H4O2,84.021129
C02652,C7H8O5,172.037173
C02654,C9H13N3O7PR,306.18959899799995
C02655,C8H14O7,222.073953
C02656,C7H12O4,160.07355900000002
C02657,C8H8O3,152.04734399999998
C02658,CH2NOR,44.032729999999994
C02659,C4H7NO,85.052764
C02660,C8H7NS,149.02992
C02661,CH2BrCl,127.90284
C02666,C10H10O3,178.062994
C02669,C6H10O6,178.04773799999998
C02670,C6H8O6,176.032088
C02671,C5H9N2O3R,145.13679
C02672,,
C02673,C23H30N2O4,398.220557
C02674,C5H8O4,132.042259
C02675,C16H14O5,286.08412400000003
C02677,C2H6Te,159.953173
C02678,C12H22O4,230.151809
C02679,C12H24O2,200.17763
C02681,C43H74O7,702.543455
C02682,,
C02683,,
C02684,,
C02685,,
C02686,C25H46NO8R,488.63572899999997
C02687,C16H20N2O8R2,1552.295276
C02691,C11H13N4,201.114021
C02692,C6H10O6,178.04773799999998
C02693,C10H10N2O,174.07931299999998
C02695,(C12H20O11)n,340.281155
C02699,C6H12N3O3R,174.17805600000003
C02700,C11H12N2O4,236.07970699999998
C02702,C15H24NO11PR2(C5H8O6PR)n,651.3867859940001
C02703,C3H7NO6S,184.99940800000002
C02704,CH4O4S,111.983029
C02705,C4H6N2O3R2,594.084972
C02706,C4H6N2O3R2,594.084972
C02707,C5H8N2O3R2,608.1115940000001
C02709,C8H9NO2,151.063329
C02710,C8H15NO3,173.10519299999999
C02711,C8H15NO6,221.08993700000002
C02712,C7H13NO3S,191.061614
C02713,C11H19NO8,293.111067
C02714,C6H14N2O,130.110613
C02715,C5H6NO5R,160.105074
C02716,C6H9N2O4R,173.14693499999998
C02717,C18H19NO4,313.131408
C02718,C3H6N2O2,102.042927
C02720,C6H7NO,109.052764
C02721,C4H9NO2,103.06332900000001
C02722,C7H15NO,129.115364
C02723,C5H14N2,102.115698
C02724,C6H8N,94.065674
C02725,C25H48N6O14,656.32285
C02726,C5H15N4O3P,210.088177
C02727,C8H16N2O3,188.11609199999998
C02728,C7H16N2O2,160.12117800000001
C02729,,
C02730,C11H10O5,222.052823
C02732,C12H11N3O2R2,549.22325
C02734,C6H7O4P,174.008195
C02735,C8H11NO,137.08406399999998
C02736,C5H6O8PR3,287.01787199399996
C02737,C8H12NO10PR2,344.12948899599996
C02739,C15H25N5O20P4,719.004334
C02740,C11H8N2O3S2,279.997634
C02741,C15H23N5O14P2,559.071673
C02743,C4H6N2O2SR2,178.23242199999999
C02744,C24H47NO10S,541.292067
C02745,,
C02749,C3H6NO2SR,120.15017900000001
C02750,C14H14O9,326.063782
C02752,C6H6O3,126.03169399999999
C02753,C5H8O5,148.037173
C02755,C10H17N3O6S(C8H12N2O4S)n,539.5807739999999
C02756,,
C02757,C6H11O5R,163.148816
C02758,,
C02759,C10H16O,152.120115
C02761,C5H9O5R,149.12219399999998
C02762,(C12H20O10)n,324.28175
C02763,C9H8O3,164.04734399999998
C02764,C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n,714.356545994
C02765,C10H15NO,165.115364
C02766,C3H6N2O4,134.032757
C02768,C3H9O6P(C3H7O5P)n,326.132474996
C02771,C15H20O3,248.14124500000003
C02773,C3H7O3R,91.08602200000001
C02774,C10H20O3,188.141245
C02775,C8H7NO2,149.047678
C02777,C4H6N2O2,114.042927
C02778,C15H13NO,223.099714
C02779,C6H10O6,178.04773799999998
C02780,C6H8O7,192.027003
C02781,C6H12O5,164.068473
C02782,C6H12O6,180.06338799999997
C02783,C5H10O4,134.057909
C02784,C28H39FN7O17P3S,889.132001
C02785,C31H48O3,468.360345
C02787,C4H11N,73.089149
C02789,C10H17O10PR2(C5H8O6PR)n,554.2713909940001
C02790,,
C02791,C6H5Cl2N,160.979905
C02792,C28H39FN7O17P3S,889.132001
C02793,C31H48O3,468.360345
C02794,C10H12N2O4,224.07970699999998
C02796,C9H7NO,145.052764
C02797,C19H30O,274.229666
C02798,C3H5O6P,167.982374
C02800,C5H6O4,130.026609
C02801,C25H43N8O17P3S,852.1679720000001
C02802,C28H39FN7O17P3S,889.132001
C02803,C8H7NO3,165.04259299999998
C02804,C5H10O3,118.06299399999999
C02805,C7H9N2O4R(C2H2NOR)n,241.201145
C02806,C15H10O7,302.042653
C02807,C12H6O2,182.036779
C02808,C19H28N8O6,464.21318099999996
C02809,C12H15N3O3S,281.083412
C02810,C6H15O9P,262.045369
C02811,C22H22N2O7,426.142701
C02812,C6H8O9S,255.988903
C02814,C6H6O3,126.03169399999999
C02816,C7H13N3O2R2,491.18543199999993
C02817,C10H2Cl10O,487.699092
C02821,C23H32O6,404.219889
C02822,C21H30O8S,442.166139
C02823,C63H88CoN14O14P,1354.567405
C02824,C6H13NO3S,179.061614
C02825,C22H27N7O,405.227709
C02827,C6H12O9S,260.020203
C02828,C21H31ClN6O3,450.214617
C02834,(C34H55N3O42S5)n,1338.121034
C02835,C5H6N2O2,126.042927
C02837,C6H12N2O,128.09496299999998
C02838,C15H29NO4,287.209658
C02839,C24H30N6O12PR(C5H8O6PR)n,820.5902499959999
C02843,C23H38N7O17P3S(CH2)2n,837.624913994
C02845,C4H8O,72.05751500000001
C02846,C8H11N,121.089149
C02847,C4H6NO3R,116.09552400000001
C02850,C3H3NO3R2,565.043706
C02851,C7H12N3O4R,202.188201
C02852,C8H17NO5,207.110673
C02853,C3H4NO3R,102.06890200000001
C02854,C6H7NO2,125.047678
C02855,C6H16N4O9P2,350.039251
C02856,C23H43N5O12,581.2908219999999
C02857,C20H35N3O11R2,2109.4462040000003
C02858,C6H11N2O3R,159.163412
C02860,C5H4N5R,134.118979
C02862,C11H21NO4,231.14705800000002
C02863,C10H16N2O8R2,1476.1990720000001
C02864,C21H27N7O5,457.207367
C02866,,
C02867,C10H17O10PR2(C5H8O6PR)n,554.2713909940001
C02868,C16H14O7,318.07395299999996
C02869,,
C02871,C5H6N2O4R2,766.0897620000001
C02872,C14H23N6O3R2,787.3541809999999
C02876,C3H7O5P,154.00311000000002
C02879,C30H28O11,564.163162
C02880,C35H32MgN4O5,612.222312
C02882,C3H6NO2SR,120.15017900000001
C02884,C5H13O14P3,389.951815
C02885,HS2O3R,113.135756
C02886,C16H29N3O6S,391.177706
C02887,C15H16O9,340.079432
C02888,C6H13O9P,260.029719
C02890,C21H25NO4,355.178358
C02892,C12H15N4O2S,279.091571
C02893,C6H12O,100.088815
C02894,C26H21N3O9S2,583.071921
C02895,C5H13O8P,232.034804
C02896,C2H8N2(C2H4)n,88.151658
C02897,C5H9O5R,149.12219399999998
C02899,C20H22N2O3,338.163043
C02900,C6H11O6R,179.148221
C02903,C2H5NO(C2H4)n,87.120537
C02904,C10H20O2,172.14633
C02905,C27H39N5O19P2R2(C5H8O6PR)n(C5H8O6PR)n,1809.219492952
C02906,C15H12O8,320.053217
C02909,C11H10O,158.073165
C02912,C3H8O2,76.05243
C02914,C3H6O6S,169.98850900000002
C02915,C21H24NO4,354.17053300000003
C02916,C16H17NO4,287.115758
C02917,C3H8O2,76.05243
C02918,C7H9N2O,137.071488
C02919,C17H22O10,386.121297
C02920,C16H12O5,284.068473
C02921,C15H10O3,238.062994
C02922,C16H14O5,286.08412400000003
C02923,C7H8O2,124.05243
C02924,C3H8OS2,124.00165600000001
C02926,C4H7NO2,101.047678
C02927,C15H14O10,354.058697
C02928,C5H8O6,164.032088
C02929,C2H3O3R,75.043518
C02930,C6H8O4,144.042259
C02932,C5H5NO2,111.032028
C02933,C6H4Cl2O2,177.95883500000002
C02934,C18H37NO2,299.282429
C02937,C10H10N2O,174.07931299999998
C02938,C10H8N2,156.068748
C02939,C26H44N7O17P3S,851.172723
C02940,C19H30O,274.229666
C02941,C19H28O,272.214016
C02942,C21H30O4,346.214409
C02943,C30H44O4,468.32395999999994
C02944,C33H56N7O17P3S,947.266624
C02945,C19H32O,276.245316
C02946,C6H11NO3,145.073893
C02947,C16H16O7,320.08960299999995
C02948,C6H12O2,116.08373
C02949,C28H40N7O18P3S,887.1363380000001
C02951,C12H8O5,232.037173
C02952,C10H14O3,182.094294
C02953,C9H13N5O3,239.101839
C02954,C8H12N2O3S,216.056863
C02956,C19H32O,276.245316
C02957,C11H14N4O4,266.101505
C02960,C19H37NO6PR,406.474771998
C02961,C9H13N3O5,243.085521
C02962,C6H13O9P,260.029719
C02964,C12H22O11,342.116212
C02965,C6H13O9P,260.029719
C02967,C10H16N3O7P(C5H8O5PR)n(C5H8O5PR)n,679.4001919940001
C02970,C50H83O4P,778.6028980000001
C02972,C8H16NOS2R,206.348684
C02975,C8H14O3,158.094294
C02977,C16H25N5O15P2,589.082238
C02979,C3H9O6P,172.013675
C02980,C14H8O3,224.04734399999998
C02982,C20H40O3,328.297745
C02983,C12H14N2O2,218.105528
C02984,C14H22NO13PR2(C5H8O6PR)n,669.358973994
C02985,C6H13O8P,244.034804
C02986,C7H12N3O4R(C2H2NOR)n,258.231671
C02987,C20H28N6O13PR(C5H8O6PR)n,786.530812996
C02988,C16H24N3O11PR2(C5H8O6PR)n,691.4109319940001
C02989,C5H11NO3S,165.045964
C02990,C23H45NO4,399.334859
C02991,C6H10O5,162.052823
C02992,C14H24NO12PR2(C5H8O6PR)n,655.3754509940001
C02993,C15H23N5O4,337.175004
C02994,C5H8O5,148.037173
C02995,C12H23O14P,422.082542
C02996,C14H10Cl2NO2.,316.998629
C02997,C8H11N3O3,197.080041
C02998,C2H4NOR,58.059352000000004
C02999,C14H24N2O9,364.14817999999997
C03000,C7H12NO6R,206.173605
C03001,C13H18N4O3,278.13788999999997
C03002,C13H18N2O3,250.131742
C03003,C12H16NO7,286.092677
C03004,C9H11NO4,197.06880800000002
C03005,C8H9NO2,151.063329
C03007,C6H8N2O,124.06366299999999
C03010,C20H39N5O10,509.269692
C03011,C4H6NO3R(C2H2NOR)n,172.13899400000003
C03012,C10H8O2,160.05243000000002
C03015,C4H8N2O4,148.048407
C03016,C4H7N2O6PR2,241.055906996
C03017,C10H19NO4,217.131408
C03018,OH(C6H10O5)n,179.148221
C03019,C24H34O7,434.230453
C03021,C5H7N3O3R2,621.110356
C03022,C7H12N4O3R2,664.178244
C03023,C6H10N2O2SR2,206.285666
C03024,,
C03025,,
C03027,C21H30O3,330.219495
C03028,C12H20N4O10P3S,505.01129800000007
C03029,,
C03030,C5H4N2O4,156.017107
C03031,C9H13N2O9P,324.035867
C03032,C20H20N2O3,336.147393
C03033,C6H9O7R,193.13174400000003
C03034,C16H24N2O17P2,578.05502
C03035,C39H64N7O17P3S,1027.329224
C03036,C17H14O7,330.07395299999996
C03037,C10H14O2,166.09938
C03039,C10H18O,154.135765
C03040,C17H14O7,330.07395299999996
C03042,C18H36O3,300.26644500000003
C03043,C10H14N2O,178.110613
C03044,C4H10O2,90.06808000000001
C03045,C18H36O3,300.26644500000003
C03046,C4H10O2,90.06808000000001
C03047,C6H16N6,172.143645
C03049,C22H44O3,356.329045
C03050,C19H32O2,292.24023
C03051,C19H32O2,292.24023
C03052,C15H12O8,320.053217
C03056,C5H5NO2,111.032028
C03057,C8H6O3,150.031694
