,molecular_formula
C00265,C4H10O2S2
C00266,C2H4O2
C00267,C6H12O6
C00268,C9H13N5O3
C00269,C14H19N3O15P2R2
C00270,C11H19NO9
C00272,C9H15N5O3
C00273,C6H10O6
C00275,C6H13O9P
C00279,C4H9O7P
C00280,C19H26O2
C00282,H2
C00283,H2S
C00284,C10H16N2O8
C00286,C10H16N5O13P3
C00288,HCO3
C00290,
C00291,Ni
C00292,C6H7N
C00294,C10H12N4O5
C00295,C5H4N2O4
C00296,C7H12O6
C00297,SR2
C00298,
C00299,C9H12N2O6
C00300,C4H9N3O2
C00301,C15H23N5O14P2
C00302,C5H9NO4
C00303,C5H10N2O3
C00304,C18H33N3O10(R1)(R2)
C00305,Mg
C00306,C50H73N15O11
C00307,C14H26N4O11P2
C00308,C5H12N4O3
C00309,C5H10O5
C00310,C5H10O5
C00311,C6H8O7
C00312,C5H10O5
C00313,C23H36N7O19P3S
C00314,C8H11NO3
C00315,C7H19N3
C00317,
C00318,C7H15NO3
C00319,C18H37NO2
C00320,HS2O3
C00322,C6H8O5
C00323,C30H42N7O19P3S
C00324,C6FeN6
C00325,C16H25N5O15P2
C00326,
C00327,C6H13N3O3
C00328,C10H12N2O3
C00329,C6H13NO5
C00330,C10H13N5O4
C00331,C11H9NO3
C00332,C25H40N7O18P3S
C00333,C6H10O7
C00334,C4H9NO2
C00337,C5H6N2O4
C00338,
C00339,CH3OR
C00340,
C00341,C10H20O7P2
C00342,C10H14N4O4S2R4
C00343,C10H12N4O4S2R4
C00344,C8H13O10PR2
C00345,C6H13O10P
C00346,C2H8NO4P
C00347,C3H5O2R
C00348,C55H91O4P
C00349,C4H6O3
C00350,C7H12NO8PR2
C00351,C10H19O14P3R2(C5H8O5PR)n
C00352,C6H14NO8P
C00353,C20H36O7P2
C00354,C6H14O12P2
C00355,C9H11NO4
C00356,C27H44N7O20P3S
C00357,C8H16NO9P
C00360,C10H14N5O6P
C00361,C10H15N5O10P2
C00362,C10H14N5O7P
C00363,C10H16N2O11P2
C00364,C10H15N2O8P
C00365,C9H13N2O8P
C00366,C5H4N4O3
C00367,
C00369,(C12H20O10)n
C00370,C17H28O
C00371,C10H13N5O
C00372,(C12H20O10)n
C00373,
C00374,(C26H40N2O36S5)n
C00375,CH4NR
C00376,C20H28O
C00377,
C00378,C12H17N4OS
C00379,C5H12O5
C00380,C4H5N3O
C00381,C20H36O(C5H8)n
C00383,C3H4O4
C00384,C12H25N4O5R
C00385,C5H4N4O2
C00386,C9H14N4O3
C00387,C10H13N5O5
C00388,C5H9N3
C00389,C15H10O7
C00390,C14H20O4(C5H8)n
C00391,
C00392,C6H14O6
C00393,
C00394,C16H25N5O16P2
C00395,C9H11N2O4SR
C00396,C4H4N2
C00397,C18H37N5O9
C00398,C10H12N2
C00399,C14H18O4(C5H8)n
C00400,C10H20O
C00401,(C14H21NO11)n
C00402,C4H7NO4
C00403,C4H6N2O3R2(C2H2NOR)n
C00404,H4P2O7(HPO3)n
C00405,C2H4NO2R
C00406,C31H44N7O19P3S
C00407,C6H13NO2
C00408,C6H11NO2
C00409,CH4S
C00410,C21H30O2
C00411,C32H46N7O20P3S
C00412,C39H70N7O17P3S
C00413,C21H39N7O12
C00414,C6H10O
C00415,C19H21N7O6
C00416,C5H7O8PR2
C00417,C6H6O6
C00418,C6H12O4
C00419,C10H17O10PR2(C5H8O6PR)n
C00420,C12H22O11(C6H10O5)n
C00422,C6H5O6R3
C00423,C9H8O2
C00424,C3H6O2
C00426,(C14H18NO11R3)n
C00427,C20H32O5
C00429,C4H6N2O2
C00430,C5H9NO3
C00431,C5H11NO2
C00433,C5H6O4
C00434,C10H17O8PR2(C5H8O5PR)n.
C00435,
C00436,C5H13N3O
C00437,C7H14N2O3
C00438,C5H8N2O5
C00439,C6H10N2O4
C00440,C20H25N7O6
C00441,C4H7NO3
C00444,C10H19O16P3R2(C5H8O6PR)n
C00445,C20H22N7O6
C00446,C6H13O9P
C00447,C7H16O13P2
C00448,C15H28O7P2
C00449,C11H20N2O6
C00450,C6H9NO2
C00451,C6H8O7
C00454,C5H11O10P2R
C00455,C11H15N2O8P
C00458,C9H16N3O13P3
C00459,C10H17N2O14P3
C00460,C9H15N2O14P3
C00461,(C8H13NO5)n
C00462,HX
C00463,C8H7N
C00464,
C00466,C4H8O2
C00468,C18H22O2
C00469,C2H6O
C00470,C12H18O13(C6H8O6)n-2
C00472,C6H4O2
C00473,C20H30O
C00474,C5H12O5
C00475,C9H13N3O5
C00476,C5H10O5
C00477,C27H44O6
C00478,C6H10O5
C00479,C3H6O
C00480,(C36H60O30)n
C00481,C3H4N2
C00482,C11H12O5
C00483,C8H11NO
C00484,C7H6NOR
C00486,C33H36N4O6
C00487,C7H16NO3
C00488,CH3NO
C00489,C5H8O4
C00490,C5H6O4
C00491,C6H12N2O4S2
C00492,C18H32O16
C00493,C7H10O5
C00494,C19H37N5O7
C00495,C17H16O7
C00496,
C00497,C4H6O5
C00498,C16H25N5O15P2
C00499,C4H8N4O4
C00500,C33H34N4O6
C00501,C15H25N3O16P2
C00502,C5H10O6
C00503,C4H10O4
C00504,C19H19N7O6
C00505,
C00506,C3H7NO5S
C00507,C6H12O5
C00508,C5H10O5
C00509,C15H12O5
C00510,C39H68N7O17P3S
C00511,C3H4O2
C00512,C28H40N7O17P3S
C00513,C12H21N3O13P2
C00514,C6H12O7
C00515,C5H12N2O2
C00516,
C00517,C16H32O
C00518,(C14H21NO12)n
C00519,C2H7NO2S
