compound,formula,mass
131508,C15H29O8P,368.36
131510,C9H11N,133.191
131511,C9H11N,133.194
131512,C9H11N,133.191
131514,C9H12ClN,169.652
444,C20H20NO4,338.37714
131516,C9H12ClN,169.652
131517,C9H12N,134.199
131518,C6H14N2O3,162.187
131520,C9H12N,134.201
131521,C23H41NO6,427.576
131522,C17H29N3O12P2,529.373
131523,H12MnO10S,259.093
131524,H10MnO9S,241.078
131525,(C4H6O2)n,131525
131526,CK2O3,138.206
131527,HK2O4P,174.176
131528,C25H33NO2,379.536
131529,C8H10ClNO3,203.623
131530,C8H10NO3,168.17
131531,C8H13ClN2O2,204.654
131532,C8H14Cl2N2O2,241.115
131533,C8H14N2O2,170.209
131534,C38H75NO3,594.008
131535,C43H83NO3,662.124
131536,C42H81NO3,648.0974
131537,C41H83NO3,638.104
131538,C39H77NO3,608.035
131539,C34H67NO3,537.902
131540,C18H34NO3R,312.468
469,C13H14O4,234.24786
470,C14H16O5,264.27384
131541,C33H65NO3,523.875
131542,C40H79NO3,622.062
131543,C37H75NO3,581.998
131544,C43H85NO3,664.142
131545,C41H81NO3,636.088
131546,C6H6NO2R,124.118
131547,C42H85NO3,652.131
131548,C42H83NO3,650.115
479,C34H28O22,788.57292
131549,C43H87NO3,666.157
131550,C39H79NO3,610.051
131551,C13H19N6O8P,418.3
131552,C16H26N9O8P,503.408
131553,C14H20N7O9P,461.324
131554,C14H19N6O10P,462.309
131555,C13H19N6O8PS,450.366
131556,C16H23N6O9PS,506.43
488,C10H16O2,168.23284
131557,C48H89NO13,888.221
131558,C15H22N7O9P,475.351
131559,C15H21N6O10P,476.336
131560,C12H17N6O8P,404.273
131562,C20H32O5,352.466
131564,C20H31O5,351.458
131566,C16H21N8O8P,484.361
131567,C16H25N6O8P,460.38
131568,C16H25N6O8P,460.38
131569,C16H26N7O8P,475.394
131570,C15H23N6O8PS,478.419
131571,C19H23N6O8P,494.396
131572,C15H21N6O8P,444.337
131573,C13H19N6O9P,434.299
131574,C14H21N6O9P,448.326
131575,C21H24N7O8P,533.432
131576,C19H23N6O9P,510.395
131577,C15H23N6O8P,446.353
131578,C14H21N6O7P,416.327
508,C9H9NO4,195.1721
131579,C20H26N10O13P2,676.428
131580,C9H13N3O5,243.217
131581,C42H78NO8P,756.0444
512,C43H36O18,840.73514
513,C6H4Cl4,217.90676
514,C13H8O5,244.1996
131582,C34H34MgN4O3,570.965
131583,C42H80NO8P,758.0603
131584,C42H74NO8P,752.0126
131585,C44H82NO8P,784.0975
131586,C46H82NO8P,808.1189
520,C25H24O12,516.4509
131587,C35H36MgN4O3,584.992
131588,C36H38MgN4O3,599.018
131590,C23H44NO7P,477.573
131589,C9H17O12P,348.198
131592,C3H2BrO3,165.95
131593,C9H16O9,268.218
131594,C24H42O5S,442.654
131595,C24H41O5S,441.646
131596,C18H28N3O16P,573.4
131597,C7H5ClF3NO2S2,291.701
393747,C8H6Cl2O3,221.037
131598,C25H14BrF11N2O2,663.278
131599,C19H12Cl3N3O2S,452.743
131600,C10H6N2O4S2,282.298
131601,C18H10F5N3O,379.284
131602,C17H27N4O14P,542.389
131603,C12H23O14P,422.277
131606,C11H20N2O4S2,308.42
131607,C9H12O,136.191
540,C4H8S2,120.23832
131608,C6H12N2O3S2,224.303
131609,C50H80N8O17,1065.216
131610,C10H15NO6,245.23
131612,C24H17F6NO3,481.388
131613,C26H37N3O,407.592
131614,C24H18F6N2O3,496.403
131615,C22H18F3N3O3,429.393
131616,C11H17N3O7,303.269
131617,C20H28O5,348.434
131618,C45H69NO8,752.033
131622,C22H31N7O17P3SR,790.507
131623,C9H18N2O4,218.251
131624,C9H16N2O4,216.235
131631,C18H16O6,328.317
131636,C16H22N6O13P2,568.326
131639,C16H23N6O13P2,569.334
131650,C5H6O7P,209.071
131651,C5H4O6P,191.056
131652,C22H31N7O17P3SR,790.507
131654,C44H80NO9P,798.083
131655,C44H80NO9P,798.083
131656,C17H29N3O5,355.43
131658,C26H52NO7P,521.668
131659,C26H50NO8P,535.652
131660,C43H80NO8P,770.073
131661,C42H82NO9P,776.077
131662,C47H80NO8P,818.116
131663,C41H74NO8P,740.003
131664,C12H25NO4S,279.398
131665,C45H80NO8P,794.094
131667,C20H30O2,302.452
131668,C25H52NO7P,509.658
598,C4H6O4R2,118.088
614,C15H18O9,342.298
615,C7H7NO3,153.13542
131686,C18H10F3NO3S2,409.405
131687,C25H52NO7P,509.658
131688,C25H52NO7P,509.658
131689,C25H52NO7P,509.658
131690,C25H52NO7P,509.658
131691,C25H52NO7P,509.658
131692,C25H48NO7P,505.626
131693,C22H36O2,332.521
131694,C38H74O9,674.99
131695,C22H41NO4,383.566
131701,(C10H8O4)n.HO,131701
631,C2H8NO4P,141.063
131704,C10H9O5,209.176
131705,C5H8O6PR,195.087
131706,C6H11NO5,177.155
131707,C6H11NO5,177.155
636,C24H26O6,410.4596
131708,C9H17N4O3,229.257
131709,C9H17N2O3,201.243
131710,C6H9NO3S,175.207
131712,C13H20N2O8,332.309
641,C12H12N,170.2304
131713,C18H26O,258.399
131714,C10H8N4O5,264.195
131715,C17H14N2O3,294.305
131716,C23H20F2N2O4,426.414
131717,C7H12O6,192.167
131719,C37H66FNO13,751.919
131720,C5H8O,84.117
131721,C23H24N6O7S2,560.606
131722,C11H12N4O2S,264.305
131718,C15H24N3O7S,390.434
131723,C7H9N3O2S2,231.298
131724,C19H22N4O3,354.404
131725,C36H34N4O8,650.679
131726,C13H15BrN4O2,339.188
131728,(C8H12N2O4S)n.C2H4NO2,131728
131729,C17H19N5O6S2,453.496
131730,C18H18N6O5S2,462.506
131731,C18H15Cl2N5O5S3,548.447
131732,C17H18Cl2N2O5S,433.308
131733,C19H22N2O6S,406.455
131727,HOR,17.007
663,C7H12O2,128.16898
131735,C10H10O5,210.184
131738,C22H46NO7P,467.578
131739,C26H52NO7P,521.348145
131740,C26H52NO7P,521.348145
669,C8H10O,122.1644
670,C8H11N,121.17968
131741,C26H48NO7P,517.316833
131742,C26H48NO7P,517.316833
131743,C21H44NO7P,453.551
131744,C23H44NO7P,477.285541
131745,C23H44NO7P,477.285541
131749,C20H43NO4,361.56
131750,C14H31NO3,261.401
131751,C19H22N4O3,354.404
131752,C19H22N4O3,354.404
131753,C19H22N4O3,354.404
131754,C25H26O13,534.467
131756,C12H8N2OS,228.271
685,C5H8O7PR2,211.0871
131758,C26H28O14,564.493
131759,C10H15N3O12P2,431.187
131762,C14H31NO,229.403
131763,C23H24N6O7S2,560.606
131764,C23H24N6O7S2,560.606
131765,C23H24N6O7S2,560.606
131766,C10H12N5O14P3,519.149
131767,C4H7O7P,198.068
131768,C26H26O15,578.477
131769,C33H36O16,688.631
701,C15H14N2O2,254.2839
131773,C33H36O16,688.631
131774,C33H36O16,688.631
131775,C23H24O12,492.43
131776,C23H24O12,492.43
131777,C29H34O16,638.572
131778,C9H7NO2,161.158
131779,C27H30O16,610.519
131780,C25H38N7O18P3S,849.594
131781,C25H36O5,416.551
131783,C12H12NO3,218.229
131784,C28H50N2O2,446.71
131785,C13H10ClN3O,259.691
131788,C19H20N2O,292.376
131792,C23H24O11,476.431
131793,C16H17NO2,255.312
131796,C16H17NO2,255.312
131797,C15H21N3O8S,403.409
131798,C15H22N3O7S,388.418
131800,C16H17NO2,255.312
131801,C16H17NO2,255.312
131802,C16H18BrNO2,336.224
131803,C6H9NO2,127.141
131804,C16H18BrNO2,336.224
131805,C16H18BrNO2,336.224
131806,C16H18NO2,256.32
131807,C16H18NO2,256.32
131808,C20H28N4O10,484.458
732,C21H32O5,364.477
743,C30H40O7,512.6344
744,C38H60O9,660.8776
131821,C20H30N4O16P2,644.418
131822,HNO3SR,95.079
131823,CH5NR,31.057
131824,C10H12N4O4,252.227
131825,C10H11N5O3,249.226
131827,C10H12N5O6P,329.206
756,C16H20O6,308.3264
131828,C10H11N5O4,265.226
131829,C10H12N5O7P,345.206
131830,C35H64O5,564.881
131831,C38H40O19,800.714
131832,C39H72O5,620.987
131833,C20H26N10O11P2,644.429
763,C21H30O4,346.4605
131834,C26H28O15,580.493
131836,C12H15N5O6,325.278
766,C24H32O9,464.506
131835,C18H26N6O8,454.435
131837,C21H36O4,352.509
769,C22H26N2O3,366.45352
131838,C22H22O10,446.405
771,C21H32O3,332.47698
131839,C12H23NaO2,222.3
131843,C6H14N2O2,146.188
131845,C4H10O2,90.121
131846,C4H8O2,88.105
776,C18H22O3,286.3655
131847,C6H7O5,159.117
131849,C4H9O7P,200.084
131851,C15H11FN2,238.26
131852,C9H19ClN3O5P,315.691
131853,C9H19ClN3O5P,315.691
131854,C9H19ClN3O5P,315.691
783,C27H46O3,418.65234
131848,C9H19ClN3O5P,315.691
131856,C10H11O4,195.192
131855,C26H32O9,488.528
131857,C25H34O4,398.536
131859,C20H29O3,317.4425
791,C24H32O8,448.50608
131866,C33H36O16,688.631
798,C19H28O3,304.42382
799,C19H24O3,300.39206
131871,CHO3R,61.017
131880,C27H27N5O2,453.537
131881,C27H27N5O2,453.537
131882,C27H27N5O2,453.537
131883,C23H43NO15,573.586
131884,C142H230N36O44S,3177.632
131885,C17H33NO10,411.445
131886,C22H43NO4,385.582
131887,C24H47NO4,413.635
131888,C20H32O5,352.466
131889,C20H30O3,318.451
