compound,formula,mass
17651,C28H47N2O20,746.7087
17652,C5H7NO5,161.11282
133765,C12H10Cl2N2O4,317.125
148717,C18H32O16,504.438
17655,C5H8O4,132.11462
17656,C8H8O3,152.1473
148725,C22H38N2O16,586.544
17658,C46H77NO17,916.1001
17659,C9H14N2O12P2,404.16126
17660,C10H13N5,203.2437
17661,C16H25N5O15P2,589.34192
17663,C8H14O5,190.194
17664,H3NR,17.031
17665,C6H13O9P,260.13578
17666,C5H11O8P,230.1098
17667,C5H8O4,132.1146
17668,C5H11O10P2R,293.083
17670,C11H16O10R2,308.239
17671,C9H11NO6,229.1867
17672,CH4NO5P,141.01996
17675,C26H21N3O9S2,583.59176
17676,C12H18O13,370.26352
17677,C9H16N3O14P3,483.15644
17678,C16H12O5,284.2635
17679,C60H85CoN13O15P,1318.302
17680,C6H14O12P2,340.1157
17681,C5H5NO2,111.09874
17682,C14H12O2,212.24388
17683,C15H22N2O18P2,580.28538
17684,C6H7NO5,173.12352
17685,C20H24N2O3,340.41624
148749,C6H12O6,180.156
541975,C19H30O2,290.4403
17687,C26H43NO6,465.6227
17689,C23H49N2O5P,464.6193
17688,C10H14N2,162.232
17691,C12H13NO5,251.2353
17692,C8H8O6,200.14552
17693,C8H9NO4,183.1614
17694,C8H17NOS2,207.35872
17695,C20H32,272.46808
17696,C3H3N3O3,129.07434
17697,C12H14N2O2,218.252
17698,C11H12Cl2N2O5,323.13
17699,C21H24N2O3,352.42694
17700,C11H22O,170.29178
17701,C6H6O2,110.111
17702,C5H12O5,152.14578
17703,C27H46O2,402.65294
17704,C17H12O5,296.27418
17705,C10H18N4O5,274.27388
17706,C26H21N3O5S,487.52816
148774,C12H24O11,344.313
17708,C7H7O4,155.12808
17709,C10H14N5O10PS,427.28562
17710,C6H12O4,148.1571
17711,C23H24N4O9,500.4581
17712,C5H4N4O2,152.11102
17713,C10H14N5O6P,331.22202
148779,C18H32O16,504.438
17715,C9H7NO2,161.15742
17716,C12H22O11,342.29648
17717,C2H4O4S,124.11676
148785,C18H33NO14,487.455
17719,C6H13O9P,260.13578
17720,C3H8O10P2,266.03714
17721,C12H21N3O6,303.3116
148786,C22H38N2O16,586.544
17723,C22H37N2O15,569.53366
17724,C4H9NO2,103.1198
17725,C25H42N2O19,674.603
3523,(C6H10O5)n.C12H22O11,3523
17727,C24H34O7,434.52256
17728,C6H14NO2S,164.2469
17729,C16H17NO3,271.31112
17730,C15H10O10S,382.2999
148799,C18H32O16,504.438
17732,C13H22NO11PR2(C5H8O6PR)n,17732
17733,C6H13O9P,260.13578
17734,C20H20N2O3,336.38448
17735,C8H11NO,137.17908
17736,C9H10BrNO2S,276.15124
17737,C27H44O,384.63766
17738,C6H8NO4,158.13206
17739,C16H31NO3(C2H2NOR)n,17739
17740,C3H5NO3,103.07674
17741,C3H7NO,73.09382
17742,C5H4O6,160.08166
148815,C18H32O16,504.438
17745,C10H12O3,180.203
17746,C5H9O6,165.12136
17747,C24H38O4,390.55612
17748,C10H14N2O5,242.2286
17750,C5H11NO2,117.14638
17751,C21H43N7O18P2,743.55002
17752,C8H16N2O3,188.22432
148822,C16H28N2O11,424.403
17754,C3H8O3,92.09382
17755,C7H14N2O4S,222.26314
17756,C8H7O3,151.13938
17757,C8H8O2(C5H8)n,17757
17759,C27H44O,384.63766
17760,CH4O4S,112.105
17761,C4H6NO2R3,100.0959
17762,C27H46O,386.65354
17763,C12H10O4,218.2054
17764,C5H13O7P,216.12628
17765,C9H18O8,254.235
17766,C6H8O2,112.12652
17767,C6H11O7,195.1473
17768,C6H14N2O,130.18824
17769,C4H9NO,87.1204
17770,C20H18O9,402.35152
17771,C6H5N2O2,137.11618
17772,C20H23NO4,341.40096
17773,C5H9O6,165.1214
17774,C7H11O4,159.15984
17775,C5H4N4O3,168.11042
148840,C14H21NO15S,475.37
148842,C18H32O16,504.438
17778,C4H4O6,148.07096
148849,C22H38N2O15,570.545
17780,C11H12N2O3,220.228
17781,C12H10N4O2,242.23356
17782,C6H8O6,176.1241
17783,C17H25N3O18P2,621.33734
17784,C6H13NO6,195.1705
17785,C20H34NO15,528.4817
17786,C8H15NO3,173.21
17787,C43H77N3O20P2,1018.02722
17789,C21H17NO5,363.36342
17790,CH4O,32.04186
17791,C30H50O,426.7174
17792,RX,17792
17793,C16H12O5,284.2635
17794,C3H7O7P,186.0572
17795,C4H2O6,146.05508
17796,C6H11O7,195.1473
17797,C5H11O8P,230.1098
17798,C5H10NO7P,227.1092
17799,C4H9NO3,119.119
17800,C25H44N13O13P,765.6699
17801,C6H8O6,176.12412
17802,C9H12N2O6,244.20146
17803,C5H6O5,146.09814
17804,C9H11N5O3,237.21554
17805,C6H11N2O6P,238.13518
17806,C8H14NO5,204.2005
17807,C9H10O5,198.1727
17808,C10H14N4O11P2,428.18604
148879,C6H12O6,180.156
17810,C11H20NO7PR2,309.2528
17811,C6H10O6,178.14
148881,C22H38N2O16,586.544
17813,C29H46O,410.67494
17814,C13H18O7,286.2778
17815,C5H6O5R2,146.0981
17816,C6H14O12P2,340.11568
17817,C15H23N3O14P2,531.30246
17818,C18H19NO4,313.3478
17820,C12H10O4,218.2054
17821,C5H6N2O2,126.11342
17822,C3H7NO3,105.09262
17823,C27H44O3,416.63646
17824,C3H8O,60.09502
17825,C11H17N5O8P,378.2551
17826,CH5AsO2,123.9708
17827,C3H8O3S2,156.22582
17828,C8H7NO2,149.14672
148896,C20H35NO16,545.491
17830,C9H19N2O2,187.25944
17831,H2O(C12H19NO13S)n,17831
17832,C10H21NO6PR,282.251
148906,C46H78N2O35,1219.109
17835,C3H7O7P,186.0572
17836,C7H6NO2,136.1286
17837,C6H13O9P,260.13578
17838,C4H5NO5,147.08624
17839,C14H13N6O3,313.29166
17840,C8H7NO,133.1473
148907,C18H32O16,504.438
17842,C27H49N9O10S2,723.86462
17843,C10H17O10PR2(C5H8O6PR)n,17843
17844,C4H7NO3,117.10332
17845,C7H13N3O5,219.19534
17846,C15H12O5,272.2528
17847,C7H8O,108.13782
17848,C27H52NO8PR,549.678
17849,C6H10O6,178.14
17850,C36H58N3O26,963.8847
17851,C27H36N10O23P4R(C5H7O6PR)n,17851
17852,C7H10O7,206.1501
17853,C4H9NOS,119.1864
17854,C6H10O,98.143
17855,C6H5O6R3,173.1003
148919,C12H22O14S,422.35
17857,C6H10NO4PS,223.1877
17858,C20H32N6O12S2,612.63332
17859,C5H8O4,132.11462
17860,C6H11O9P,258.1199
17861,C7H4ClO2,155.55816
17862,C18H37NO2,299.49192
17863,C12H20O11,340.2806
17864,C26H45NO8S2,563.76944
17865,C6H9O3,129.13386
17866,C14H9O9,321.21586
17867,C17H25N3O16P2,589.3384
17868,C19H37O7P,408.46664
17869,C6H12O3,132.15768
148937,C11H20O10,312.271
17871,C3H6O2,74.07854
17872,C7H4O6,184.10306
148938,C11H20O10,312.271
17874,C10H15N5O,221.259
17875,C15H10O13S2,462.362
17876,C39H49NO14,755.8047
17877,C27H35N9O15P2,787.56598
17878,C6H10O2,114.1424
17879,C7H5O3,137.1128
148945,C14H21NO15S,475.37
17881,C10H8ClN3O5,285.64044
17882,C20H31N3O19P2,679.41648
17883,ClH,36.46064
17884,C13H16N2O4,264.27722
17885,C12H21N3O13P2,477.25508
17886,C6H9O7,193.1315
148954,C12H22O11,342.297
17888,C12H23O14P,422.27638
17889,C8H9NO3,167.162
17890,C10H11NO,161.2004
148960,C14H25NO11,383.35
17892,C6H13O8P,244.1364
17893,C2H3O3R,75.0434
17894,C28H42N10O23P4R(C5H8O6PR)n,17894
17895,C9H11NO3,181.18858
148968,C14H25NO11,383.35
17897,C6H12O5,164.1565
17898,C20H28O,284.43572
17899,C27H44O2,400.63706
148969,C22H38N2O16,586.544
17901,C8H14O7,222.19256
17902,C5H13N3O,131.17634
17903,C14H15N3,225.28912
17905,C2H6O3S2,142.19924
17906,C3H7NO,73.09382
17907,C8H8O,120.14852
133817,C27H31NO11,545.536
17909,(S)nS2,17909
17911,C14H26NO14P,463.329
133818,C32H37N7O3,567.682
17913,C8H19N6O7P,342.24646
17914,(C12H20O10)n.C12H22O11,17914
17915,C6H10O2,114.1424
17917,C6H11NO3,145.15648
148989,C11H20O10,312.271
17919,C4H8O2S2,152.23712
17920,C9H7NO,145.158
148993,C18H32O16,504.438
17922,C13H8O,180.202
17924,C6H14O6,182.17176
17925,C6H12O6,180.15588
17926,C45H60N4O14,880.97646
17927,C9H21N3O,187.28266
17928,C6H14NO8P,259.15106
17929,C8H18N4O2,202.25428
17931,C15H13NO2,239.26926
149004,C24H42O21,666.579
17933,C27H44O2,400.63706
17934,C21H34O,302.49406
17935,C8H16O,128.212
17936,C4H8O7PR,199.076
17937,C6H10O5,162.1406
17938,C28H46O2,414.66364
17939,C22H29N7O5,471.50984
149010,C17H29NO14,471.412
17941,C6H14FO3P,184.14572
17942,C6H13O9P,260.1358
17943,C3H6O6S,170.14214
149012,C16H28N2O11,424.403
17945,C7H13NO,127.18426
149013,C14H23NO15S,477.39
17947,C7H10O6,190.1507
17948,C15H12O7,304.2516
149016,C14H25NO11,383.35
17950,C31H56NO13R,650.7752
17952,C27H21O12R9,537.449
17953,C9H10N4O4,238.20026
17954,C9H19O11P,334.2143
17955,C5H11O9P2R,277.083
149024,C11H18O11,326.254
17957,C6H9NOS,143.207
17958,C9H7O2R,147.1507
17959,C25H21N3O2,395.454
17960,C3H4O3,88.06206
17961,C15H29O10P3,462.306
17962,C14H19N3O15P2R2,531.2593
17963,C12H15N,173.25424
17964,C6H11NO2,129.157
17965,C21H20O11,448.3769
17966,C7H11N,109.16898
17967,C3H7NO2,89.09322
17968,C4H7O2,87.09718
17969,C7H16O13P2,370.1417
17970,C7H10NO6R,204.1574
149035,C12H24N2O9,340.329
17972,C5H12O13P3R,373.063
17973,C6H13O9P,260.13578
149042,C17H29NO14,471.412
17975,C31H44N6O16P,787.68566
17976,C9H12O4(C5H8)n,17976
17977,C6H5O2,109.1027
17978,C8H7NO5,197.14492
17979,C5H10O5,150.1299
17980,C10H15N5O13P2S,507.26552
17981,C5H9NO4,147.1293
17982,C8H12NO4,186.18522
17983,C14H22N2O16P2,536.27588
17984,C22H35N7O17P3SR,794.536
17985,C10H15N5O10P2,427.20132
133832,C34H59NO13,689.832
17987,C7H8O,108.13782
149052,C16H28N2O11,424.403
17989,C15H16O9,340.28214
17990,C16H19NO7,337.3246
17992,C12H22O11,342.2965
17993,C8H11N2O4,199.18402
17994,C5H12O11P2,310.0897
17995,C20H34NO14,512.483
17996,Cl,35.4527
17997,N2,28.01348
17998,C6H12O,100.159
17999,C7H11N3O3S2R2,249.313
18000,H2NR,16.023
149070,C18H32O16,504.438
18002,C17H24O10,388.367
18003,C7H6O6,186.11894
18004,C6H12O6,180.1559
18005,C9H7O3,163.15008
149071,C20H35NO16,545.491
18007,C3H5O5P,152.04256
280152,C16H18N6O7S2,470.48
18009,C21H29N7O17P3,744.41322
18010,C17H14O7,330.28886
18011,C19H32O2,292.45618
18012,C4H4O4,116.0722
18013,C17H20O9,368.3353
18014,C17H26N3O15P,543.3732
18015,C13H22O,194.3132
18016,C18H16O8,360.31484
149086,C18H32O16,504.438
18018,C12H21O10,325.28914
18019,C6H14N2O2,146.18764
18020,C7H16NO,130.20808
18021,C3H4O6P,167.03402
18022,CNS,58.08344
18023,C42H46N4O16,862.8318
18024,C6H10O7,194.14
18025,C3H9O5P,156.07432
18026,C7H6O4,154.1201
18027,C15H24,204.35106
149093,C22H38N2O16,586.544
18029,C22H19NO6,393.3894
18030,C15H10O13S2,462.3641
18032,C6H10N3O4P,219.1351
18033,C8H7NO2,149.14672
18034,C8H6O6,198.12964
18035,C5H6O5R2,89.07
18036,O10P3,252.91528
18037,C12H22O3,214.30128
18038,C16H25N5O16P2,605.34132
18039,C6H16N4O9P2,350.16032
18040,C6H14N2O3,162.18704
18041,C3H6O2,74.07854
18042,C7H7NO4,169.13482
18043,C8H8N2O2,164.1614
18044,COR2,28.0101
133844,C22H32O4,360.488
18046,C7H6O6,186.11894
18047,C8H16O2S2,208.34344
18048,C9H9NO5,211.1715
18049,C5H11N,85.1475
18050,C5H10N2O3,146.14458
18051,C4H7NO3,117.10332
18052,C16H23O10,375.34782
18053,C4H7NO2,101.10392
18054,C13H23N4O4,299.3456
18056,C53H92N3O28R,1219.303
18057,C19H20N2O,292.3749
18058,C2H3NO3,89.05016
18060,CH2RX,14.027
18061,C6H8N2O4R2(C2H2NOR)n,18061
18062,C5H12N4O,144.175
18063,C10H17O9R1,252.219
18064,C4H8O3,104.10452
18065,C14H19N3O7S,373.382
18066,C15H24N2O17P2,566.30186
18067,C31H46O2,450.6957
136181,C18H28NO5,338.419
18069,C8H15O11P,318.1719
149134,C18H32O16,504.438
18071,C3H5O2S,105.1366
18072,C5H4N4O4,184.10982
18073,C30H26O10,546.5214
149145,C18H32O15,488.439
18075,C10H16N2O11P2,402.18844
149146,C14H25NO11,383.35
18077,C10H17N2O14P3,482.16834
18078,C6H10O5,162.1406
149149,C18H32O16,504.438
18080,C6H6O4,142.10944
18081,C37H54O4,562.82226
18082,C41H32O26,940.6772
18083,C6H7N5,149.1533
18084,C19H26O3,302.40794
18086,C10H9NO,159.1846
149159,C18H32O16,504.438
18088,C16H12O4,268.2641
18089,C9H9NO3,179.1727
18090,C3H7NO,73.09382
18091,C4H6O2S2,150.22124
18092,C30H42O,418.65388
18093,C21H30O5,362.4599
18094,C11H8O4,204.1788
18095,C5H9NO3,131.131
133853,C21H28O6,376.444
133854,C21H28O7,392.444
18098,C20H31N4O17P,630.45066
18099,C6H12O,100.15888
18100,C23H37N7O17P3SR(C2H4)n,18100
18101,C8H8O3,152.14732
18102,C15H29NO4,287.3951
18103,C10H13NO6S,275.27936
18104,C6H10O5,162.1406
18105,C6H13O9P,260.13578
18106,C25H33NO11,523.52966
18107,C10H12N4O6,284.22564
149174,C6H12O6,180.156
149179,C18H32O16,504.438
18110,C3H2O7P,181.01754
18112,C6H7NO,109.12592
18113,C14H25NO11,383.35
133858,C13H16O5,252.264
18115,C8H7NO2,149.14672
18116,C9H13N2O9P,324.1813
18117,C13H20N5O16P3,595.24328
18118,C5H8O5,148.11402
18119,C8H14O3,158.19496
18120,C5H12N2O,116.16166
136183,C14H19NO4R,265.305
18122,(C2H2NOR)n.C4H7N2O4R,18122
18123,C7H7NO2,137.13602
18124,C2H5O4P,124.0325
18125,C9H8O3,164.15802
18126,C11H16N3O7SR,334.326
18127,C5H14N2,102.1781
18128,C21H18O12,462.36042
18129,C18H36O3,300.477
18130,C10H14O3,182.21636
18131,C15H12O5,272.25278
18132,C5H15NO4P,184.1507
149202,C15H28O13,416.376
18134,C29H48O3,444.68962
18135,C6H6O2,110.11064
18136,C9H10O4,182.1733
18137,C6H13NO5(C12H19NO19S3)n,18137
18138,C2H5N3O2,103.08012
18139,C3H9N,59.1103
18140,HX,1.008
136184,C12H17O3,209.262
18142,C20H39N5O11,525.55076
149212,C18H32O16,504.438
18144,C45H76O7P2,791.0283
18145,C29H50O2,430.7061
18146,C20H21NO4,339.385
18147,C12H22O11,342.29648
18148,C6H13O12P2,340.11568
18149,C15H10O6,286.2363
18150,C7H13O10P,288.14588
18151,C11H10O2(C5H8)n,18151
18152,C15H10O8,318.2351
18153,C2H4,28.05316
149226,C17H21NO4,303.3529
18155,C23H44O5,400.59246
18156,C6H14O12P2,340.11568
18157,C22H36N4O13,564.5404
149222,C18H32O16,504.438
18159,C5H13O14P3,390.07
18160,C54H82O4,795.2265
18162,C52H78O3,751.17392
18163,C67H113N4O39R,1598.6175
18164,C20H40O3,328.5298
18165,C14H21N3O6S,359.39916
18167,C12H22O11,342.29648
18168,C20H38O3,326.51392
18169,C6H13O9P,260.13578
18170,H2O4Se,144.97348
18171,C19H14O6,338.31086
18172,C2H2FO2,77.03448
18173,C7H14O6,194.18246
18174,C21H20O8,400.3787
149242,C18H32O16,504.438
18176,C9H8O3,164.15802
18177,C10H13NO,163.21636
149247,C20H35NO16,545.491
149250,C20H35NO14,513.493
18183,C5H7NO3,129.114
18184,C15H9I3O5,649.94237
18185,C28H48O2,416.67952
18186,C9H11NO3,181.18858
18187,C20H42O7P2,456.4908
18188,C4H8NO2,102.11186
18189,C5H11O8P,230.1098
18191,C6H8N2O2S2R4,204.272
136186,C39H76NO7P,701.998
18193,C29H36O10,544.59014
149264,C18H32O16,504.438
18195,C76H142O15,1295.9317
18197,C55H92O7P2,927.2623
18198,C10H11NO5,225.19808
18199,C41H65N9O28P2,1193.9458
18200,C22H22O11,462.40348
18202,C6H14O6,182.17176
18203,C14H21N3O6S,359.39916
18204,C21H28O2,312.44582
18205,C6H13O9P,260.13578
18206,C28H43N8O18P3S,904.67142
18207,C8H16NO9P,301.18774
18208,C16H18N2O4S,334.392
18209,C13H26NO10PS3,483.51804
18210,N2O2,60.01228
18211,C6H13N3O3,175.18584
18212,O3Se,126.9582
18215,C17H14O8,346.2883
18216,C56H96N3O31R,1307.365
18217,C20H35NO16,545.489
18218,C12H9O3S,233.265
18219,H5NO,35.0458
18220,C15H10O2,222.2387
18222,C5H10O5,150.13
149294,C16H28N2O11,424.403
18224,C10H12O2,164.2011
18225,C6H14O12P2,340.11568
18226,C10H14N2O,178.231
18227,C18H12O6,324.28428
18228,C6H15O15P3,420.09558
18229,C14H19N3O6S,357.38328
18230,C55H72MgN4O5,893.489
18231,H3AsO4,141.943
18232,C6H14NO8P,259.15106
149298,C20H35NO16,545.491
18234,C44H82O13,819.1141
149304,C6H12O6,180.156
18236,C17H10O6,310.2577
18237,C5H9NO4,147.1293
18238,C53H80O4,781.1999
18239,C50H84O7P2,859.14528
18240,C5H9NO3,131.1299
18241,C5H10O6PR,197.103
18242,C10H14O4,198.21576
18243,C8H11NO2,153.1784
18244,C5H13NO6PR,214.134
18245,CO2,44.0095
18246,(C6H10O5)nH2O,18246
18247,C9H17N4O9P,356.2264
18248,Fe,55.845
18249,C28H42O,394.63248
18250,H2O(C14H21NO14S)n,18250
18251,C15H24N2O17P2,566.30186
18252,C27H44O,384.63766
18253,C6H10N3O3,172.16202
18254,C5H9O4R,133.123
18255,C10H12N4O4,252.2267
18256,C7H6O4S,186.18614
18257,C5H12N2O2,132.16106
18258,C15H12I3NO4,650.9735
18259,C45H79N2O23R,1016.1084
149323,C16H28N2O14S,504.46
18261,C4H8N2O3,132.118
18262,C12H23O2,199.31
18263,C15H25N5O20P4,719.27574
149329,C14H25NO11,383.35
18265,C6H5N5O,163.137
18266,C7H14O6,194.18246
18267,C6H6O4,142.10944
18268,C6H8O6,176.12412
18269,(C6H10O5)nH2O,18269
18271,C5H8O6PR,195.087
18272,C8H15N2O9P,314.18654
18274,C5H9O3R,117.123
18276,H2,2.01588
18277,C12H13NO9P,346.20672
18278,C28H51NO12P2(C5H8)n,18278
18280,C8H6O3,150.13144
18281,C6H8O7,192.1235
18283,C12H23O14P,422.27638
18284,C12H19N4O10P3S,504.2875
18285,C19H17NO4,323.34262
133892,C79H132N2O29P4,1697.788
18287,C6H12O5,164.15648
18288,C5H12O4S2,200.27838
18289,C9H7NO,145.15802
18290,C12H19ClN4O7P2S,460.76824
18291,Mn,54.93805
18292,C12H18O3,210.2695
18293,C12H8O4,216.1895
149357,C5H10O5,150.13
18295,C5H9N3,111.14518
18296,H2O(C14H21NO14S)n,18296
18297,C6H13O9P,260.13578
18298,C31H48O3,468.71102
18299,C11H14NO6P,287.2057
18300,C4H4O4,116.07216
18301,C6H6O4,142.11
18302,C15H25N5O15P2,577.331
18303,C8H12NO10P,313.156
18304,C21H27N6O15P2,665.41804
18305,C12H16O7,272.2512
18306,C12H15N4O2S,279.33926
18307,C15H24N2O17P2,566.30186
18308,C3H4O2,72.06266
18310,CH3R,15.035
18311,C10H7NO2,173.168
18312,C7H8O4S,188.20202
18313,C37H66NO18R,812.917
18314,C5H11NO2,117.148
18315,C14H6N2O8,330.20612
18316,C8H15N5O,197.2378
18317,C9H14N2O5,230.2179
542606,C18H20O3,284.3496
18319,C13H19N4O12P,454.2833
18320,C4H10O2S2,154.251
18321,C9H19O11P,334.2143
18322,C6H9O3,129.13386
18323,C10H16N4O3,240.2592
18318,C25H46NO11SR,568.698
18325,C11H8O5,220.17822
18327,C6H8N2O4,172.1388
18328,C15H24N2O2,264.36334
18329,C19H32O2,292.4562
18330,C21H20O10,432.3775
149402,C18H32O16,504.438
18332,C15H11I4NO4,776.87006
18333,C5H12O5,152.1458
18334,C10H17N5O16P4,587.1609
18335,C8H13N2O5P,248.17306
18336,C4H10NO7P,215.0985
18337,C9H15N4O9P,354.2106
18338,C12H18ClN4O4PS,380.78834
149411,C18H32O15,488.439
18340,C7H8O4,156.136
18344,C10H7NO3,189.1675
18345,C6H17O21P5,580.05539
18346,C8H8O3,152.1473
18347,C6H13NO2,131.17296
18348,C11H19O19P3R2,548.1784
18349,C7H15N2O8P,286.17644
18350,C9H7NO,145.15802
18351,C6H12O2,116.15828
149416,C18H32O16,504.438
18353,C8H10O3,154.1632
18354,C5H12O4S2,200.27838
18355,C5H6O3,114.09934
18356,C14H8N2O8,332.222
18357,C8H11NO3,169.1778
18358,C12H8O4,216.1895
18359,HSR,33.074
18360,C20H30N2O3,346.4638
18361,O7P2,173.94332
18362,C23H30N2O5,414.496
18363,C19H22NO4,328.3823
18364,C29H48O,412.702
18365,C10H8O4,192.16812
18366,C21H33N9O11PR(C5H8O6PR)n,18366
18367,O4P,94.97136
18368,C25H46NO8R,488.6346
149432,C17H24N6O2,344.419
18370,C17H26O9,374.3829
18371,C6H4O4,140.09356
18372,C9H16N5O13P3,495.17052
18373,C19H23NO4,329.39026
18374,C15H23N5O14P2,559.31594
18375,C5H7O5PR2,178.0798
18376,H2O.(C14H20NO13S)n,18376
18377,C11H12N2O4,236.22406
18378,C28H48O,400.68012
18379,CNR,26.0174
18380,C68H129N2O20P,1325.7271
18381,C10H15N4O9P,366.2213
149445,C21H17Br2Cl2N5O2,602.11
18383,C3H8N2O2,104.1079
18384,C6H13O9P,260.13578
18385,C12H17N4OS,265.35574
18386,C10H7NO2,173.1681
18387,C5H6N2O4,158.11222
18388,C15H10O5,270.2369
18390,C25H46NO8R,488.636
18391,C6H11O7,195.1473
18392,C45H52N4O18,936.91054
18393,C10H8O3,176.16872
18394,C12H22O11,342.29648
18395,C6H8O3,128.12592
18396,(C5H8)n.C42H74N2O22P2,18396
18397,C8H11N,121.1796
18398,(C6H10O5)n.H2O,18398
18399,C18H19NO3,297.3484
18400,C6H4O3,124.09416
18401,C8H7O2,135.13998
18402,C27H46O5,450.6511
18403,C5H12O5,152.14578
18404,C7H8O2,124.13722
18405,C8H10NO6P,247.1419
18406,C9H15N4O8P,338.2112
18407,CHN,27.0253
18408,C72H100CoN18O17P,1579.5818
18409,C5H8O4,132.11462
18410,C8H6NO3,164.13818
18411,C12H22O11,342.2965
18412,C6H15N4O5P,254.18102
18413,C8H16N3O8P,313.20182
18414,C8H8O3,152.14732
18415,C3H6N2O2,102.0919
18416,C12H22N2O6S,322.37896
18417,C17H19NO3,285.3377
18418,C16H17NO3,271.31112
18419,C3H6O2,74.07854
18420,Mg,24.305
18421,O2,31.9988
18422,O2S,64.0648
136195,C41H74NO7P,724.004
149488,C40H59N9O13,873.962
18425,C5H12O9P2,278.0909
18426,C6H11O8P,242.1205
18427,C7H14O6,194.18246
18428,C17H22O10,386.35058
18429,C13H18O3,222.28022
18430,C22H28N2O4,384.4688
18431,C27H46O3,418.65234
149495,C72H110N20O19,1559.793
149501,C50H74N16O10,1059.244
149504,C22H22ClN6O,421.91
18435,C12H18O3,210.2695
18436,C12H20O3,212.2854
149508,C4H5O2,85.081
149509,C24H18N6O3,438.448
18446,C12H20O3,212.2854
136196,C41H72NO7P,721.988
149519,C19H19N3O2,321.38
149521,C6H16N4O2,176.22
18450,C8H7NO,133.14732
18451,C10H20O,156.2652
149524,C24H18BrClN6O3,553.8
149525,C21H26N3O4S3,480.64
149520,(C8H17N5)n,149520
149529,C5H10O5,150.13
149530,C16H9O8,329.241
149531,C22H18O13,490.374
149532,C16H9O7,313.242
149534,(ClH)x.(C8H17N5)n,149534
149536,C6H12O6,180.156
149538,(C8H19N5)n,149538
149539,C6H12O6,180.156
149541,C6H12O5,164.157
149542,C6H12O6,180.156
18471,C18H30O9,390.4254
18472,C12H20O4,228.2848
18473,C12H20O3,212.2854
149545,C6H12O6,180.156
149547,C10H16O,152.237
149548,C29H42N2O4,482.664
149551,C29H40N2O4.ClH.ClH,553.57
18481,C10H16O,152.2334
149564,C18H28ClN3O,337.89
149565,C12H17N2S,221.34
149566,C12H16N2S.ClH,256.79
149572,C22H31N3O4,401.507
149579,C11H22O3,202.294
18508,C6H11NO2,129.157
18509,C6H11NO2,129.157
149582,C20H38O4,342.52
18511,C6H11NO2,129.157
149583,C24H22ClF3O3,450.88
18513,C6H11NO2,129.157
149584,C11H17NO6S,291.32
18515,C10H18O2,170.24872
149585,C25H32O12,524.519
149587,C6H5ClO5,192.55
136199,C43H84NO7P,758.105
149596,C8H12NO2,154.188
149601,C19H36O5,344.492
18531,C27H44O9,512.63286
18532,C27H44O9,512.63286
18533,C28H48O,400.68012
18534,C28H46O,398.66424
18535,C28H48O,400.68012
149609,C9H10O6S,246.23
149610,C16H16O6,304.298
18540,C8H7O4,167.13878
149613,C39H67N3O29,1041.957
149614,C76H127N5O57,2022.83
149615,C74H122N4O57,1979.761
149619,C17H12O5,296.278
149620,C17H11O5,295.271
149621,C32H55NO25,853.774
18554,C6H10O,98.143
18555,C9H7Cl2N2O3,248.04238
149629,C18H13O5,309.298
18558,C10H9NO4,207.1828
149634,C29H38N2O4,478.633
149635,C44H61N7O11,864.01
149636,C41H52N4O4S,696.95
149640,C38H50N6O10,750.85
149641,C35H52N6O10,716.833
149642,C18H11O6,323.281
136201,C43H82NO7P,756.089
149645,C9H12N2O7,260.202
149650,C12H19NO14S,433.34
149651,C16H32O2,256.43
149652,C8H9NO2,151.165
149653,C5H9NO4,147.13
149654,C5H9NO4,147.13
149655,C5H9NO4,147.13
149657,C29H41N5O9,603.673
149658,C35H52N10O9,756.862
149659,C24H42O19,634.581
149660,C18H12O6,324.288
149669,C60H102N22O15S,1403.68
149670,C9H10O2,150.177
149671,C9H10O2,150.177
149672,C5H7O6,163.106
149675,He,4.003
149676,C10H14NO,164.227
149677,C10H13NO,163.22
149678,C10H13NO,163.22
149679,C30H51N5O9,625.764
18608,C20H23N7O6,457.4399
149681,C10H13NO,163.22
149680,C22H21N5O2S,419.5
149689,C9H11NO4,197.19
149691,[12C],11.998
149692,[16O],15.992
149693,C23H23N5O2S,433.53
149694,C9H7N2O4,207.163
18624,C3H4Cl2,110.97
149696,C12H11NOS2,249.35
149698,C4H5NO4R,131.087
149697,C23H36NO4,390.545
149702,C9H10N2O3,194.19
149705,C17H17N5O8P,450.324
149706,C10H7NO3,189.17
149707,C10H6NO3,188.163
18638,C34H57N2O25,893.81486
149710,C25H31NO4,409.526
149716,C14H20N2O7,328.321
149718,(C5H8O6PR)n.(C5H8O6PR)n.C11H17N5O8P,149718
149719,(C5H8O6PR)n.(C5H8O6PR)n.C10H15N2O9P,149719
149720,C12H18N4O6,314.298
149721,(C5H8O6PR)n.(C5H8O6PR)n.C11H18N5O8P,149721
149722,(C5H8O6PR)n.(C5H8O6PR)n.C10H15N2O9P,149722
149723,(C5H8O6PR)n.(C5H8O6PR)n.C10H16N3O8P,149723
149724,(C5H8O6PR)n.(C5H8O6PR)n.C10H15N2O9P,149724
149725,(C5H8O6PR)n.(C5H8O6PR)n.C10H15N2O9P,149725
149727,C12H16N4O5,296.283
149728,C12H18N4O4,282.3
18657,C15H20O4,264.3169
149729,C12H16N4O3,264.285
18662,C3H5ClO,92.5239
